Authors;Title;Abstract;Author Keywords;Index Keywords;Source Title;Document Type;Publisher;DOI;ISSN;ISBN;Book Authors;Group Authors;Book Group Authors;Book Editors;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Start Page;End Page;Book DOI;Early Access Date;Publication Date;Publication Year;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Indexed Date;Cited by;Link;PubMed ID;SJR_Q;JCR_Q;SJR_found;JCR_found;Removal_reason
IM, Hyeon-yeol;;This study employs Generative AI and computational linguistics techniques to analyze the correspondence between modern Korean and Chinese HAN-character sounds. The research focuses on 5,978 characters categorized by difficulty levels, aiming to confirm systematic phonological correspondence patterns.Method: The study utilizes advanced computational methods to examine the phonological relationships between Korean and Chinese characters. It categorizes the characters based on difficulty levels and analyzes their sound patterns.Results: The research confirms high-consistency patterns in Korean onset-Chinese initial and Korean coda-Chinese final mappings. It also identifies complex relationships between Korean vowels and Chinese vowels. The study reveals that Chinese exhibits greater syllable type diversity compared to Korean. Additionally, it finds slightly higher correspondence rates for ‘basic’ characters compared to ‘advanced’ ones, though the overall difference is not substantial.Conclusions: Based on these findings, the study proposes language learning strategies that prioritize high-consistency patterns for foundational phonological correspondence. It recommends adopting gradual approaches for complex correspondences and incorporating phonological knowledge into education. This approach aims to help learners understand commonalities and differences between the two language systems.The research offers insights for Korean language education and HAN-character vocabulary learning. It suggests that consistent learning strategies can be developed regardless of character difficulty. Future research directions include developing AI-based personalized learning systems and conducting longitudinal studies on learners' acquisition of correspondence rules.This study introduces an innovative methodology integrating Generative AI with computational linguistics for phonological analysis. It potentially enhances HAN-character vocabulary education and represents a new paradigm for language education research.;;;The Journal of Chinese Character Studies;research-article;;;2093-6133;;;;;;;;39;;;133;165;;;2024;2024;0;0;3;2024-09-25;;;;;;False;False;Journal not found in DBs
"Luo, Feng; Zhang, Wannian; Yu, Fang; Wang, Jinlong; He, Yu-Peng; Luo, F.; Zhang, W.; Yu, F.; Wang, J.; He, Y.-P.";Studies on the properties and molecular dynamics simulations of nonionic surfactants based on succinic acid derivatives;"Nonionic surfactants have proven useful in various applications such as wastewater treatment, enhanced oil recovery, dyeing, and cosmetics. Novel nonionic surfactants such as PEMP, BEMP, HEMP and BEEP were synthesized based on succinic acid derivatives and using L-isoleucine as the linking group and four polyether alcohols as the hydrophilic group. First, the structures of the four nonionic surfactants were studied using Fourier transform infrared (FTIR) spectroscopy and nuclear magnetic resonance (NMR) spectra. Then the critical micelle concentration (CMC) and surface tension at CMC (gamma CMC) of the four nonionic surfactants in aqueous solution were tested. gamma-lg c curves determined the relationships of their surface properties as BEEP > PEMP > BEMP > HEMP. In order to expand the range of applications for nonionic surfactants, we evaluated the salt-resistant properties of four such surfactants. Our findings demonstrated that this class of surfactants indeed has superior salt-resistant properties. Molecular dynamics (MD) simulations were used to study how surfactant molecules aggregate in the interfacial film. The study investigated the trend of solvent accessible surface area (SASA) over time. Results showed that the surfactant molecules interacted well with solvent molecules in the equilibrium state. This study investigates the performance differences among four types of surfactants using the electrostatic potential (ESP) distribution of their molecules. The study employed both experimental and computational simulations to provide a more comprehensive understanding of surfactant properties. The results offer insights into the theoretical research and application extension of this class of surfactants.; Nonionic surfactants have proven useful in various applications such as wastewater treatment, enhanced oil recovery, dyeing, and cosmetics. Novel nonionic surfactants such as PEMP, BEMP, HEMP and BEEP were synthesized based on succinic acid derivatives and using L-isoleucine as the linking group and four polyether alcohols as the hydrophilic group. First, the structures of the four nonionic surfactants were studied using Fourier transform infrared (FTIR) spectroscopy and nuclear magnetic resonance (NMR) spectra. Then the critical micelle concentration (CMC) and surface tension at CMC (γCMC) of the four nonionic surfactants in aqueous solution were tested. γ-lg c curves determined the relationships of their surface properties as BEEP > PEMP > BEMP > HEMP. In order to expand the range of applications for nonionic surfactants, we evaluated the salt-resistant properties of four such surfactants. Our findings demonstrated that this class of surfactants indeed has superior salt-resistant properties. Molecular dynamics (MD) simulations were used to study how surfactant molecules aggregate in the interfacial film. The study investigated the trend of solvent accessible surface area (SASA) over time. Results showed that the surfactant molecules interacted well with solvent molecules in the equilibrium state. This study investigates the performance differences among four types of surfactants using the electrostatic potential (ESP) distribution of their molecules. The study employed both experimental and computational simulations to provide a more comprehensive understanding of surfactant properties. The results offer insights into the theoretical research and application extension of this class of surfactants. © 2025 Elsevier B.V., All rights reserved.";"gemini surfactants; non-ionic surfactants; surface activity";"Amino acids; Critical micelle concentration; Enhanced recovery; Fourier transform infrared spectroscopy; Micelles; Molecular dynamics; Molecules; Nuclear magnetic resonance; Nuclear magnetic resonance spectroscopy; Wastewater treatment; Acid derivative; Critical miceller concentrations; Dynamics simulation; Enhanced-oil recoveries; Gemini surfactant; Non-ionic surfactants; Property; Succinic acids; Surface activities; Surfactant molecules; Nonionic surfactants";Journal of Surfactants and Detergents;Article;John Wiley and Sons Inc;10.1002/jsde.12778;"1097-3958; 15589293; 10973958; 1558-9293";;;;;;;;28;1;;77;84;;JUN 2024;JAN 2025;2025;0;6;26;2024-06-14;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195103379&doi=10.1002%2Fjsde.12778&partnerID=40&md5=362f34f309462413f7726dd7c7d7eca0;;Q3;Q3;True;True;Below Q2 in one or both DBs
"Wang, Fei; Zhao, Yunshu; Zhou, Xu; Sun, Shanhu; Li, Siyao; Su, Li; Zhang, Xiaoyan; Liu, Yonggang; Suo, Zhirong; Xu, Jinjiang; Sun, Jie; Wang, F.; Zhao, Y.; Zhou, X.; Sun, S.; Li, S.; Su, L.; Zhang, X.; Liu, Y.; Suo, Z.; Xu, J.; Sun, J.";An Efficient Approach to the Design and Construction of Novel Energetic Materials: Co-Crystallization and Chemical Reaction of Insensitive Explosive ICM-102 in Acidic Solutions;"The cocrystal represents a practical method for developing new energetic materials. However, insensitive explosives (LLM-105, TATB, ICM-102) encounter challenges in forming cocrystal explosives with other molecules due to the dense hydrogen bond interactions in insensitive explosives. To facilitate the formation of cocrystal explosives based on insensitive explosives, the electron distribution of typical insensitive explosives was analyzed by surface electrostatic potential (ESP), revealing that the ICM-102 molecule exhibits strong proton affinity. Through the cultivation of a single crystal found that ICM-102 undergoes self-assembly and chemical reactions in acid, resulting in the efficient construction of two energetic cocrystals and two energetic salts. First, ICM-102 undergoes supramolecular self-assembly with HCOOH (MA) and CH3COOH (HAc) to generate the energetic cocrystals HG-1 and HG-2. Notably, HG-1 is a ternary cocrystal. Second, ICM-102 participates in hydrolysis and salt formation reactions in HF and HCl to form energetic salts Salt-1 and Salt-2. This study efficiently obtained the cocrystal explosives based on ICM-102, providing a solid theoretical foundation for the construction of cocrystal explosives based on insensitive explosives.; The cocrystal represents a practical method for developing new energetic materials. However, insensitive explosives (LLM-105, TATB, ICM-102) encounter challenges in forming cocrystal explosives with other molecules due to the dense hydrogen bond interactions in insensitive explosives. To facilitate the formation of cocrystal explosives based on insensitive explosives, the electron distribution of typical insensitive explosives was analyzed by surface electrostatic potential (ESP), revealing that the ICM-102 molecule exhibits strong proton affinity. Through the cultivation of a single crystal found that ICM-102 undergoes self-assembly and chemical reactions in acid, resulting in the efficient construction of two energetic cocrystals and two energetic salts. First, ICM-102 undergoes supramolecular self-assembly with HCOOH (MA) and CH<inf>3</inf>COOH (HAc) to generate the energetic cocrystals HG-1 and HG-2. Notably, HG-1 is a ternary cocrystal. Second, ICM-102 participates in hydrolysis and salt formation reactions in HF and HCl to form energetic salts Salt-1 and Salt-2. This study efficiently obtained the cocrystal explosives based on ICM-102, providing a solid theoretical foundation for the construction of cocrystal explosives based on insensitive explosives. © 2025 Elsevier B.V., All rights reserved.";"chemical reaction; energetic cocrystal; energetic salt; insensitive explosives; self-assembly reaction";"Chlorine compounds; Explosive bonding; Halogenation; Hydrolysis; Photodissociation; Photoionization; Self assembly; Acidic solutions; Co-crystallizations; Co-crystals; Dense hydrogen; Design and construction; Energetic cocrystal; Energetic salts; Insensitive explosives; Practical method; Self-assembly reactions; Hydrogen bonds";Propellants, Explosives, Pyrotechnics;Article;John Wiley and Sons Inc;10.1002/prep.202400177;"0721-3115; 15214087; 07213115; 1521-4087";;;;;;;;50;3;;;;;DEC 2024;MAR 2025;2025;0;9;19;2025-01-07;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001092489&doi=10.1002%2Fprep.202400177&partnerID=40&md5=e9c91cee60c18efed4f8a49f7b6a7a1a;;Q2;Q3;True;True;Below Q2 in one or both DBs
"Wei, Linda; Hua, Shengyi; Zhang, Shaoting; Zhang, Xiaofan";DeReStainer: H&E to IHC Pathological Image Translation via Decoupled Staining Channels;Breast cancer is a highly fatal disease among cancers in women, and early detection is crucial for treatment. HER2 status, a valuable diagnostic marker based on Immunohistochemistry (IHC) staining, is instrumental in determining breast cancer status. The high cost of IHC staining and the ubiquity of Hematoxylin and Eosin (H&E) staining make the conversion from H&E to IHC staining essential. In this article, we propose a destain-restain framework for converting H&E staining to IHC staining, leveraging the characteristic that H&E staining and IHC staining of the same tissue sections share the Hematoxylin channel. We further design loss functions specifically for Hematoxylin and Diaminobenzidin (DAB) channels to generate IHC images exploiting insights from separated staining channels. Beyond the benchmark metrics on BCI contest, we have developed semantic information metrics for the HER2 level. The experimental results demonstrated that our method outperforms previous open-sourced methods in terms of image intrinsic property and semantic information.;;;DEEP GENERATIVE MODELS, DGM4MICCAI 2024;Proceedings Paper;;10.1007/978-3-031-72744-3_1;"0302-9743; 1611-3349";"978-3-031-72743-6; 978-3-031-72744-3";;;;"Mukhopadhyay, A; Oksuz, I; Engelhardt, S; Mehrof, D; Yuan, Y";Lecture Notes in Computer Science;;15224;;;1;10;;;2025;2025;2;5;5;2025-04-05;;;;Q2;;True;False;Journal not found in DBs
"Chang, Shuang-jun; Ren, Fu-de; Wu, Hao; Wang, Jiu-ning; Chang, S.-J.; Ren, F.-D.; Wu, H.; Wang, J.-N.";Theoretical insight into the acidity and cooperativity effect of the LLM-105∙(HNO3)2 system;"In order to reveal the nature of the acidity in explosive product, the acidities and cooperativity effects from the intermolecular H-bonding interactions in the LLM-105 center dot center dot center dot(HNO3)(2) ternary systems were investigated at the B3LYP/6-311 + + G** and M062X/6-311 + + G** levels, with the integral equation formalism polarized continuum model (IEFPCM) based on the self-consistent-reaction-field. The results show that for the ternary systems, the intermolecular H-bonding interactions are stronger than those in the binary complexes, resulting in the lower [H+] concentrations and larger pK(a1) values upon the ternary-complex formations. However, there is no obvious correlation between the acidities and cooperativity effects or APT charges of the H atoms involving the H-bonds. Surface electrostatic potential (ESP) and reduced density gradient are used to reveal the nature of the H-bond and acidity. Interestingly, the acidity is closely related to the ESPs of the H atom (V-S,V-H) involving the intermolecular H-bond, but not to the statistical quantities. This is mainly because both acidity and V-S,V-H are the local properties of system, whereas the cooperativity and statistical quantity of ESP are the global property.; In order to reveal the nature of the acidity in explosive product, the acidities and cooperativity effects from the intermolecular H-bonding interactions in the LLM-105∙∙∙(HNO<inf>3</inf>)<inf>2</inf> ternary systems were investigated at the B3LYP/6–311 + + G** and M062X/6–311 + + G** levels, with the integral equation formalism polarized continuum model (IEFPCM) based on the self-consistent-reaction-field. The results show that for the ternary systems, the intermolecular H-bonding interactions are stronger than those in the binary complexes, resulting in the lower [H+] concentrations and larger pK<inf>a1</inf> values upon the ternary-complex formations. However, there is no obvious correlation between the acidities and cooperativity effects or APT charges of the H atoms involving the H-bonds. Surface electrostatic potential (ESP) and reduced density gradient are used to reveal the nature of the H-bond and acidity. Interestingly, the acidity is closely related to the ESPs of the H atom (V<inf>S,H</inf>) involving the intermolecular H-bond, but not to the statistical quantities. This is mainly because both acidity and V<inf>S,H</inf> are the local properties of system, whereas the cooperativity and statistical quantity of ESP are the global property. © 2022 Elsevier B.V., All rights reserved.";"Acidity; Cooperativity effect; IEFPCM; LLM-105; M062X; Surface electrostatic potential";"nitric acid; proton; ab initio calculation; acid dissociation constant; acidity; aqueous solution; Article; chemical structure; complex formation; density functional theory; density gradient; hydrogen bond; molecular dynamics; molecular model; theoretical study";Journal of Molecular Modeling;Article;Springer Science and Business Media Deutschland GmbH;10.1007/s00894-022-05376-5;"1610-2940; 09485023; 16102940; 0948-5023";;;;;;;;28;12;;;;;;DEC 2022;2022;0;1;19;2022-12-10;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142487160&doi=10.1007%2Fs00894-022-05376-5&partnerID=40&md5=0cd508ce0c9221ec490f3776263111de;36435941;Q3;Q3;True;True;Below Q2 in one or both DBs
"Mayfield, John; Tibbetts, Katherine Quesada; Rehman, Aziz; Levin, Millena; Goltz, Dayna; Prakash, Neelesh; Mayfield, J.; Tibbetts, K.Q.; Rehman, A.; Levin, M.; Goltz, D.; Prakash, N.";Improved Osteoporosis Prediction in Breast Cancer Patients Using a Novel Semi-Foundational Model;Small cohorts of certain disease states are common especially in medical imaging. Despite the growing culture of data sharing, information safety often precludes open sharing of these datasets for creating generalizable machine learning models. To overcome this barrier and maintain proper health information protection, foundational models are rapidly evolving to provide deep learning solutions that have been pretrained on the native feature spaces of the data. Although this has been optimized in Large Language Models (LLMs), there is still a sparsity of foundational models for computer vision tasks. It is in this space that we provide an investigation into pretraining Visual Geometry Group (VGG)-16, Residual Network (ResNet)-50, and Dense Network (DenseNet)-121 on an unrelated dataset of 8500 chest CTs which was subsequently fine-tuned to classify bone mineral density (BMD) in 199 breast cancer patients using the L1 vertebra on CT. These semi-foundational models showed significant improved ternary classification into mild, moderate, and severe demineralization in comparison to ground truth Hounsfield Unit (HU) measurements in trabecular bone with the semi-foundational ResNet50 architecture demonstrating the best relative performance. Specifically, the holdout testing AUC was 0.99 (p-value < 0.05, ANOVA versus no pretraining versus ImageNet transfer learning) and F1-score 0.99 (p-value < 0.05) for the holdout testing set. In this study, the use of a semi-foundational model trained on the native feature space of CT provided improved classification in a completely disparate disease state with different window levels. Future implementation with these models may provide better generalization despite smaller numbers of a disease state to be classified. © 2025 Elsevier B.V., All rights reserved.;"AI; Breast cancer; Foundational model; Osteopenia; Osteoporosis; Transfer learning";;Journal of Imaging Informatics in Medicine;Article;Springer Nature;10.1007/s10278-024-01337-x;"2948-2925; 29482933; 2948-2933";;;;;;;;38;4;;2063;2070;;DEC 2024;AUG 2025;2025;0;1;3;2024-12-19;1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013394589&doi=10.1007%2Fs10278-024-01337-x&partnerID=40&md5=74e9a85b8154b43c40ffe43af9f42f33;;;;False;True;Journal not found in DBs
"Ballier, N.; Arnold, T.; Méli, A.; Thurston, T.; Yunès, J.-B.";Whisper for L2 speech scoring;In this paper, we examine whether confidence scores produced by the C++ re-implementation of Whisper (Radford et al., in: International conference on machine learning, 2023) can be used to score L2 learners of English and classify them. We test whether the language prediction and its probability can be used to classify French learners of English using a specifically collected dataset for read speech and a graded corpus, the ANGLISH corpus (Tortel and Hirst, in: Proceedings of speech prosody 2010, 2010. https://doi.org/10.21437/SpeechProsody.2010-49). We show that probability scores associated with the Whisper subtokens can be used to classify learners into levels using the knn algorithm. We show the limitations of the language detection probability beyond an initial threshold where the native language L1 of the learner can actually be predicted by the speaker. We have also used the ISLE corpus (Menzel et al., in: Proceedings of LREC 2000: Language resources and evaluation conference, European Language Resources Association, 2000) to test the prediction of the levels of Italian and German learners of English (Atwell et al., in: ICAME Jurnal, 27:5–18, 2003). We show how language detection for Whisper’s multilingual larger models can be used to detect less advanced learners’ first language but cannot be used for learner level classification with advanced learners. Using a greedy alignment algorithm, we also discuss the confidence score assigned to Whisper output subtokens and how this may be used for speaker scoring, prediction of learner levels, and learner feedback. We show that low confidence scores and alternative transcriptions can be used as potential cues for learner pronunciation errors. © 2024 Elsevier B.V., All rights reserved.;"ASR; Audio LLM; Computer-assisted pronunciation teaching (CAPT); L2 speech; Whisper";"Adversarial machine learning; Computer aided language translation; Contrastive Learning; Speech recognition; Teaching; ASR; Audio LLM; Computer assisted; Computer-assisted pronunciation teaching; Confidence score; L2 speech; Language detection; Language resources; On-machines; Whisper; C++ (programming language)";International Journal of Speech Technology;Article;Springer;10.1007/s10772-024-10141-5;"15728110; 13812416";;;;;;;;27;4;;;;;;;;;;;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208094190&doi=10.1007%2Fs10772-024-10141-5&partnerID=40&md5=c342c7b1bf959c80710aaa1de88174da;;Q1;;True;False;Journal not found in DBs
"Wu, H.; Liu, W.";Exploring mechanisms of effective informal GenAI-supported second language speaking practice: a cognitive-motivational model of achievement emotions;Conversational generative artificial intelligence (GenAI) has emerged as a promising tool for second language (L2) speaking practice, but the mechanisms behind its effectiveness remain underexplored. This study aims to explore these mechanisms through the lens of the cognitive-motivational model of achievement emotions in the control-value theory. Specifically, we investigate how emotions (enjoyment, boredom, and curiosity), cognitive processing, and the ideal L2 self interact to influence speaking performance. The sample consisted of 158 Chinese L2 majors engaging in GenAI-assisted speaking practice in informal contexts. Using Partial Least Square-Structural Equation Modeling (PLS-SEM) with Smart PLS 4 software, key findings include that gender did not affect the constructs under study, but GenAI competence positively influenced speaking performance. Enjoyment had a direct effect on cognitive processing, which in turn enhanced speaking performance, though it did not influence the ideal L2 self. Curiosity positively influenced the ideal L2 self and speaking performance, but had no effect on cognitive processing. Boredom, however, did not affect either cognitive processing or the ideal L2 self. The study contributes theoretically by advancing understanding of how psychological factors shape L2 speaking performance in GenAI contexts. Pedagogically, it offers insights into optimizing GenAI for language practice. © 2025 Elsevier B.V., All rights reserved.;"Achievement emotions; Cognitive-motivational model; Conversational GenAI; Informal speaking practice";;Discover Computing;Article;Springer Science and Business Media B.V.;10.1007/s10791-025-09635-w;29482992;;;;;;;;28;1;;;;;;;;;;;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007923881&doi=10.1007%2Fs10791-025-09635-w&partnerID=40&md5=e2e7b26f2b61fef07a6ac67f2b7cf36b;;Q2;;True;True;Below Q2 in one or both DBs
"Iqbal, Javed; Asgarova, Vafa; Hashmi, Zarqa Farooq; Ngajie, Berty Nsolly; Asghar, Muhammad Zaheer; Jarvenoja, Hanna; Iqbal, J.; Asgarova, V.; Hashmi, Z.F.; Ngajie, B.N.; Asghar, M.Z.; Järvenoja, H.";Exploring faculty experiences with generative artificial intelligence tools integration in second language curricula in Chinese higher education;The current study investigates how faculty members in Chinese universities are navigating the integration of generative artificial intelligence tools into second language curricula, focusing on specific pedagogical and institutional challenges. Using an exploratory sequential mixed-method approach (N = 776), we examined how faculty perceive and address key areas of concern: curriculum adaptation, assessment transformation, student engagement, ethical concerns, professional development needs, and pedagogical shifts. Unlike prior studies, which often generalize faculty experiences, this study uniquely captures nuanced faculty strategies and gaps in readiness across a large-scale context in Chinese higher education. Results indicated that faculty members exhibited significant usage of generative artificial intelligence tools both for personal and professional purposes. They also used generative artificial intelligence tools for formative assessment practices, with limited application in summative assessments. Results indicated faculty faced Generative AI tool usage challenges like curriculum adaptation, assessment transformation, student engagement with generative artificial intelligence tools, ethical concerns, professional development, and pedagogical shifts. The findings also demonstrated that faculty members were struggling to address these challenges. Furthermore, outcomes indicated that professional development and ethical concerns directly, indirectly, positively and significantly contribute to helping faculty to enhance student engagement and pedagogical shifts in their teaching practices. Additionally, curriculum adaptation and assessment transformation have also mediated these relationships. These findings contribute novel insights into how professional development can support effective GenAI integration. Implications are offered for faculty development programs, curriculum design policies, and institutional governance in the era of AI-enhanced education. © 2025 Elsevier B.V., All rights reserved.;"Faculty perspectives; Generative artificial intelligence tools; Pedagogical challenges; Second Language curricula";;Discover Computing;Article;Springer Science and Business Media B.V.;10.1007/s10791-025-09655-6;"2948-2984; 29482992; 2948-2992";;;;;;;;28;1;;;;;;JUN 19 2025;2025;2;17;17;2025-06-23;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008715809&doi=10.1007%2Fs10791-025-09655-6&partnerID=40&md5=4bd80cd4fb77c917068616c3f0a5b9d0;;Q2;;True;True;Below Q2 in one or both DBs
"Javahery, Pourya; Alpat, Muhammet Furkan; Kamali, Jaber; Javahery, P.; Alpat, M.F.; Kamali, J.";Exploring Iranian novice EFL trainees' perceptions of ChatGPT use for lesson planning through a critical digital literacy lens;"As AI tools like ChatGPT continue to find their way into classrooms, it is becoming increasingly important to understand how new teachers are using them. This study adopts a phenomenological approach to explore the real-life experiences of ten participants who were selected using purposive sampling, and data were collected through interviews and narrative inquiry. The research is grounded in data collected through interviews and narrative inquiry. These insights are analyzed through the lens of Critical Digital Literacy (CDL), which emphasizes the need for critical reflection, ethical awareness, and the growth of teacher agency. Data from ten Iranian novice language teachers were analyzed using reflexive thematic analysis to explore these experiences. Thematic analysis uncovered four interconnected themes: Human-centered teaching vs. machine-centered learning, professional growth and autonomy through reflective AI engagement, ethical considerations and cultural sensitivity, and technology as a tool vs. a crutch. The findings show that the participants did not see ChatGPT as just a passive tool; rather, they regarded it as a resource that needed thoughtful evaluation. They actively modified and tailored the content ChatGPT produced to meet their teaching needs. Their interaction with AI was marked by both excitement and caution, highlighting the significance of reflective practice in fostering ethically sound and context-aware teaching methods. This study adds to the existing literature by demonstrating how CDL can empower novice teachers to responsibly integrate AI tools while preserving their pedagogical voice in the ever-evolving digital landscape. © 2025 Elsevier B.V., All rights reserved.";"ChatGPT; Critical digital literacy; EFL teacher training; Lesson planning; Novice teachers; Reflective practice";;Discover Computing;Article;Springer Science and Business Media B.V.;10.1007/s10791-025-09720-0;"2948-2984; 29482992; 2948-2992";;;;;;;;28;1;;;;;;SEP 12 2025;2025;0;4;4;2025-09-21;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015720389&doi=10.1007%2Fs10791-025-09720-0&partnerID=40&md5=c38104926474f3158c7e526cfc9345be;;Q2;;True;True;Below Q2 in one or both DBs
