text,cluster_id,theme
"Empowered teachers to design interactive, adaptive, and personalized learning materials (e.g., picture books, karaoke exercises).",0,AI Boosts Motivation & Engagement
Facilitated faster and more efficient lesson preparation.,7,AI as Multifaceted Language Tool
"Fostered a more dynamic, engaging, and student-centered learning environment.",0,AI Boosts Motivation & Engagement
Improved students' listening and speaking skills.,4,AI Boosts Motivation & Engagement
"Supported the development of communicative skills, addressing a common gap in test-centric EFL education.",4,AI Boosts Motivation & Engagement
CALL-based activities significantly enhance students' autonomy compared to traditional methods.,0,AI Boosts Motivation & Engagement
"The use of CALL tools led to increased motivation, metacognitive awareness, and a preference for self-directed learning.",0,AI Boosts Motivation & Engagement
AI tools like ChatGPT provided opportunities for contextual and conversational practice with colloquial language not found in textbooks.,2,AI Boosts Motivation & Engagement
"Tools like Anki and Quizlet effectively supported vocabulary retention and allowed for personalized, self-paced learning.",4,AI Boosts Motivation & Engagement
Improved academic production efficiency.,0,AI Boosts Motivation & Engagement
Reduced research pressure.,3,AI Personalized Feedback & Support
"Assistance with language optimization, interdisciplinary integration, and literature reviews.",4,AI Boosts Motivation & Engagement
"The intervention significantly enhanced students' critical thinking as reflected in their writing, with mean scores increasing from 26.13 to 29.58.",9,GenAI for L2 Writing Enhancement
Students' overall acceptance of using ChatGPT for CT-oriented writing activities became higher post-intervention.,1,AI Personalized Feedback & Support
"Significant positive shifts were observed in performance expectancy, effort expectancy, trust, and behavioral intention.",0,AI Boosts Motivation & Engagement
"ChatGPT can function as a virtual tutor or knowledgeable peer, aiding in concept organization, outline development, and providing detailed feedback.",1,AI Personalized Feedback & Support
"The AI-assisted worksheets, grounded in a CT framework, enhanced ChatGPT's generative capacity, enabling more detailed and structured feedback.",1,AI Personalized Feedback & Support
The ChatGPT-based rapport-building protocol (CGRBP) significantly increased L2 learners' grit.,1,AI Personalized Feedback & Support
"ChatGPT's idea-generation feature provided teachers with practical and actionable strategies for instruction, assessment, and fostering an emotionally supportive classroom.",1,AI Personalized Feedback & Support
"The use of ChatGPT enabled teachers to provide personalized feedback and monitor student progress over a long period, which reduced learners' sense of loneliness.",1,AI Personalized Feedback & Support
"ChatGPT can serve as a reliable source of immediate, action-based, and personalized solutions to learning challenges, thereby honing learners' interest and tenacity.",1,AI Personalized Feedback & Support
The study provides experimental evidence that grit is a promotable psycho-emotional factor in L2 learning.,0,AI Boosts Motivation & Engagement
"Time-saving for teachers through assistance with lesson planning, creating quizzes, and generating worksheets.",7,AI as Multifaceted Language Tool
Potential to provide students with prompt and informative feedback.,7,AI as Multifaceted Language Tool
Capability to create tailored resources and assessments for specific needs.,7,AI as Multifaceted Language Tool
"Can be used to generate diverse content such as example texts, visuals for teaching materials, and ideas for activities.",7,AI as Multifaceted Language Tool
"Enhanced writing motivation, including clearer goals, increased confidence, reinforced beliefs, and a more positive attitude.",9,GenAI for L2 Writing Enhancement
"Provided tailored support for specific writing needs through personalized, self-made chatbots.",5,GenAI for L2 Writing Enhancement
"Empowered students to create chatbots for various writing stages: idea generation, organization, logical progression, evidence use, style enhancement, error correction, and evaluation.",5,GenAI for L2 Writing Enhancement
Fostered a sense of ownership and engagement in the learning process.,0,AI Boosts Motivation & Engagement
The intervention enhanced all five aspects of pre-service teachers' P-GenAI-C.,0,AI Boosts Motivation & Engagement
Participants became more competent and familiar with a wider variety of GenAI tools and their functions.,6,AI Boosts Motivation & Engagement
Participants developed prompt engineering skills.,0,AI Boosts Motivation & Engagement
"Participants showed a deeper, more student-centered, and critical understanding of using GenAI for lesson planning and material development.",6,AI Boosts Motivation & Engagement
GenAI tools were perceived as improving efficiency by saving time and reducing workload in tasks like lesson planning and material creation.,6,AI Boosts Motivation & Engagement
The 'AI + Teacher' model alleviates the challenge of providing detailed feedback in large classes.,2,AI Boosts Motivation & Engagement
ChatGPT-supported feedback addressed a diverse range of error categories and provided helpful comments on overall rhetoric.,1,AI Personalized Feedback & Support
Students showed deeper engagement by incorporating a majority of the feedback into their revisions.,0,AI Boosts Motivation & Engagement
The feedback approach helps students become more aware of language errors and scaffolds them in writing revisions.,5,GenAI for L2 Writing Enhancement
"The method enables teachers to effectively address global issues of writing (e.g., rhetoric), which are often too time-consuming to cover with traditional methods.",9,GenAI for L2 Writing Enhancement
"Technological advancements like AI can make previously 'untreatable' error types, such as sentence structure and word choice, more amendable for learners.",5,GenAI for L2 Writing Enhancement
"Students perceived improved writing outcomes, particularly in editing.",9,GenAI for L2 Writing Enhancement
Training enhanced students' confidence and perceived competence in using AI tools ethically.,2,AI Boosts Motivation & Engagement
AI tools were found to reduce writing anxiety and support collaborative learning.,5,GenAI for L2 Writing Enhancement
"Students developed more sophisticated and strategic approaches to using a variety of AI tools for different writing stages (e.g., brainstorming, drafting, revising).",5,GenAI for L2 Writing Enhancement
