text,cluster_id,theme
"Ambiguity of learning gains: While AI tools can enhance student enjoyment and engagement, there is ambiguity surrounding the measurement of concrete learning gains.",2,Pedagogical and Psychological Barriers
The need for learners to develop critical verification skills to evaluate the reliability of AI-generated content.,2,Pedagogical and Psychological Barriers
A strong learner preference for hybrid models that combine the flexibility of CALL tools with the guidance and connection of human teachers.,7,Pedagogical and Psychological Barriers
"A 'weak with the strong' phenomenon was observed, where GAI's performance decreased with more professional and in-depth questions from students with high expertise in linguistics, contradicting findings from other fields.",1,Ethical and Cultural Challenges in GenAI
"Usefulness over enjoyment: The study found that for academic writing tasks, students value the effectiveness and utility of ChatGPT more than its entertainment or enjoyment aspects, as shown by the marginal increase in hedonic motivation.",5,Limitations of AI in Writing and Feedback
"Difficulty in habit formation: A short-term (8-week) intervention may not be sufficient for students to form a consistent habit of using AI tools for learning, even if they find them useful.",2,Pedagogical and Psychological Barriers
"Need for critical assessment skills: The study emphasizes that for AI to be effective, students must develop 'regulation skills' to critically evaluate and verify AI-generated content, moving beyond passive acceptance.",2,Pedagogical and Psychological Barriers
N/A,4,Emerging Trends and Potentials of GenAI
The potential negative impact of GenAI on language learners' intrinsic and extrinsic motivation.,8,Ethical and Cultural Challenges in GenAI
The significant challenge of designing valid and reliable assessment tasks that are compatible with the capabilities of GenAI tools.,8,Ethical and Cultural Challenges in GenAI
"A widespread lack of confidence and competence among teacher educators themselves, which is a barrier to adapting ILTE programs.",7,Pedagogical and Psychological Barriers
N/A,4,Emerging Trends and Potentials of GenAI
Teachers' concerns about how their professional image and identity might be challenged by parents' and students' attitudes towards their use of GenAI.,8,Ethical and Cultural Challenges in GenAI
"Disparities in student-owned technology (e.g., laptops with auto-correction vs. tablets without) can significantly impact writing performance on specific error types like spelling, highlighting an in-class digital divide.",3,Limitations of AI in Writing and Feedback
"Despite increased competence and confidence in using AI tools, students' strong preference for human feedback (from teachers and peers) over AI-generated feedback persists, highlighting the irreplaceable value of human interaction in the learning process.",2,Pedagogical and Psychological Barriers
"A mismatch exists between the text-based modality of ChatGPT and the needs of learners with non-read/write learning styles (e.g., visual, auditory, kinesthetic).",5,Limitations of AI in Writing and Feedback
"The effectiveness of features like personalization and vocabulary suggestion is heavily moderated by the user's language proficiency, creating a varied user experience across different skill levels.",1,Ethical and Cultural Challenges in GenAI
"The 'randomness-by-design' of GPT's output makes it unsuitable for providing consistent, uniform feedback required in many classroom settings.",7,Pedagogical and Psychological Barriers
"GPT exhibits a strong tendency for 'over-correction,' where it alters or 'improves' grammatically correct and appropriate student writing, which could undermine learner confidence and voice.",3,Limitations of AI in Writing and Feedback
"The dual psychological role of avatars: An avatar's perceived function (e.g., tutor vs. examiner) can dramatically shift its emotional impact on students from supportive to anxiety-inducing.",2,Pedagogical and Psychological Barriers
"A potential discrepancy exists in how learners perceive chatbot effectiveness, which may be influenced by their own communicative competence.",5,Limitations of AI in Writing and Feedback
There is a need to develop chatbots that can use more informal and fragmented language to better reflect authentic human conversation.,6,Limitations of AI in Writing and Feedback
"A key challenge is the inability of current text-based chatbots to incorporate or simulate non-verbal conversational cues (e.g., prosody, pauses), which are integral to language acquisition.",6,Limitations of AI in Writing and Feedback
"LLMs have limitations in their ability to engage in deep, nuanced discussions and explorations, often providing superficial responses to complex queries.",9,Limitations of AI in Writing and Feedback
"There is a concern regarding LLMs' capability to teach intricate, domain-specific professional knowledge and skills due to a lack of depth in the generated content.",9,Limitations of AI in Writing and Feedback
"The dominance of standard English varieties in the options provided by AI speech synthesis tools, limiting exposure to a wider range of Englishes.",1,Ethical and Cultural Challenges in GenAI
"The risk of GenAI reinforcing 'native-speakerism' due to databases being trained primarily on 'standard English', which could undermine the goals of GELT if not used critically.",1,Ethical and Cultural Challenges in GenAI
Preservation of genre-specific stylistic features and authorial voice during AI-assisted editing.,3,Limitations of AI in Writing and Feedback
"Uncertainty whether newer, more advanced GenAI models can overcome the simplification issues and linguistic biases observed in earlier models.",1,Ethical and Cultural Challenges in GenAI
"The inability of AI to apply a developmental perspective to L2 writing assessment, particularly in differentiating deliberate copying from the constrained paraphrasing attempts typical of learners.",3,Limitations of AI in Writing and Feedback
"Ethical ambiguity regarding plagiarism, with the perception that copying from a non-human entity might not constitute academic dishonesty.",3,Limitations of AI in Writing and Feedback
"Negative impact on professional identity formation, leading to self-positioning as 'illegitimate' or 'terrible' English users compared to AI.",1,Ethical and Cultural Challenges in GenAI
"The role of GenAI in perpetuating harmful ideologies, such as native speakerism, by being positioned as the ultimate linguistic authority.",8,Ethical and Cultural Challenges in GenAI
"The mood of a prompt (e.g., imperative, interrogative) does not significantly impact user satisfaction with AI responses, contrasting sharply with human communication.",6,Limitations of AI in Writing and Feedback
"Specific content-related prompt flaws were identified as major barriers to quality AI output, including dual requests in a single prompt, use of abstract vocabulary, and applying excessive constraints.",6,Limitations of AI in Writing and Feedback
"The role and impact of typographic revision in AI-mediated online writing is an under-explored but potentially significant area for future research, particularly in relation to learner agency.",3,Limitations of AI in Writing and Feedback
"Score compression: The tendency of the AI model to avoid assigning very high or very low scores, clustering evaluations around the midpoint.",6,Limitations of AI in Writing and Feedback
"Lack of longitudinal awareness: The AI's inability to track student progress across multiple drafts, treating each submission as an isolated event.",3,Limitations of AI in Writing and Feedback
"Reinforcement of linguistic hierarchies: The risk that AI, trained on prestige language varieties, may penalize or misinterpret non-standard dialects or heritage speaker expressions, thus marginalizing linguistic diversity.",1,Ethical and Cultural Challenges in GenAI
"Homogeneity of AI responses: ChatGPT repeatedly generated similar content points (e.g., 'easy access to vast information') across different participants' texts.",6,Limitations of AI in Writing and Feedback
"Vague student understanding of plagiarism: Students showed uncertainty about what constitutes plagiarism when using AI, with one suggesting up to 50% of AI content could be used without being identified.",3,Limitations of AI in Writing and Feedback
The unreliability of AI detection tools is a significant barrier to the fair implementation of restrictive AI policies.,6,Limitations of AI in Writing and Feedback
Inconsistency in instructor and departmental policies on GenAI creates confusion and challenges for students.,8,Ethical and Cultural Challenges in GenAI
"The practicalities of declaration policies, such as what specific uses of AI need to be declared, require further clarification to avoid being overly burdensome for students.",2,Pedagogical and Psychological Barriers
The AI model's difficulty in evaluating the 'format' criterion suggests a limitation in its ability to understand and apply genre-specific conventions in writing.,3,Limitations of AI in Writing and Feedback
"The AI's over-penalization of morphological and lexical errors raises concerns about its suitability for assessing the writing of non-native speakers in morphologically complex languages, where such errors are common.",1,Ethical and Cultural Challenges in GenAI
The potential for internet-connected AI tools to cause distraction and decrease concentration during learning.,2,Pedagogical and Psychological Barriers
The need for offline versions of Gen-AI tools to mitigate distraction and ensure access without constant internet connectivity.,8,Ethical and Cultural Challenges in GenAI
The challenge of balancing personalized AI-driven learning with traditional community-based learning activities to avoid social isolation.,2,Pedagogical and Psychological Barriers
"The conceptualization of GenAI literacy for language teachers must be multi-faceted, encompassing not just usage but also knowledge, design, evaluation, and ethics.",8,Ethical and Cultural Challenges in GenAI
"A distinction is needed between general AI literacy and the specific, contextualized GenAI literacy required for language education professionals.",1,Ethical and Cultural Challenges in GenAI
"A definitional ambiguity exists regarding what constitutes 'language learning' when using AI tools, specifically whether it encompasses programming languages like Java.",1,Ethical and Cultural Challenges in GenAI
Algorithmic colonialingualism: AI perpetuating neo-colonization by marginalizing L2 learners' voices and reinforcing Western hegemony.,1,Ethical and Cultural Challenges in GenAI
"Technological barriers in specific national contexts, such as the need for VPNs in China to access international AI platforms.",0,Ethical and Cultural Challenges in GenAI
Commercial imperatives driving product design and tiered access to higher quality AI features.,6,Limitations of AI in Writing and Feedback
"The effectiveness of ChatGPT feedback may be genre-dependent, and findings from one genre (opinion essays) may not generalize to others.",5,Limitations of AI in Writing and Feedback
"The inherent variability in ChatGPT's output, even with consistent prompts, poses a methodological challenge for research consistency and replicability.",5,Limitations of AI in Writing and Feedback
"The non-significant role of 'Effort Expectancy' in this context challenges general assumptions in technology acceptance models, suggesting that for complex or highly valued tasks, users prioritize effectiveness and social validation far more than ease of use.",0,Ethical and Cultural Challenges in GenAI
"The rapid, continuous development of LLMs poses a methodological challenge for research, as different participant cohorts may use significantly different versions of the same tool.",9,Limitations of AI in Writing and Feedback
The significant emotional and practical burden placed on instructors tasked with enforcing restrictive AI usage policies.,2,Pedagogical and Psychological Barriers
"The study reveals a counterintuitive finding that higher language proficiency can be associated with lower self-efficacy in using GenAI, challenging the assumption that skilled learners will be more confident technology users.",8,Ethical and Cultural Challenges in GenAI
"The identification of the 'interaction-oriented communicator' profile suggests that the social-relational dimension of GenAI is a distinct and significant factor in user perception, potentially independent of the tool's functional effectiveness.",8,Ethical and Cultural Challenges in GenAI
"The creation of new contradictions through GenAI use, specifically a 'rule vs. subject' conflict (navigating AI usage policies) and a 'division of labor vs. subject' conflict (the added workload of validating AI output and checking for AI detection).",8,Ethical and Cultural Challenges in GenAI
"The tension between product-orientation and learning-orientation in GAI use, where a dominant product-focused mindset may lead to superficial engagement and misuse of the technology, hindering learning.",0,Ethical and Cultural Challenges in GenAI
"The transferability of GAI interaction strategies across different writing contexts (formal vs. informal) and languages (L1 vs. L2), highlighting the importance of users' underlying thinking and expressive skills.",3,Limitations of AI in Writing and Feedback
"The generation of feedback in separate sessions for different writing components (content, organization, language) can lead to confusing overlaps, increasing cognitive load for learners.",3,Limitations of AI in Writing and Feedback
"The tool's output can lack emotional depth and warmth, affecting its relatability and suitability for certain writing tasks.",3,Limitations of AI in Writing and Feedback
The complexity of language generated by the LLM can be a comprehension barrier for some learners.,9,Limitations of AI in Writing and Feedback
"Impact of Monitoring: The awareness of being observed (by having to submit chat logs) may have influenced students' prompting behavior, indicating a need for research into how monitoring affects the ethical use of GenAI.",8,Ethical and Cultural Challenges in GenAI
"The persistence of traditional (transmissive) pedagogical beliefs can act as a significant barrier to the adoption of GenAI, even in environments with strong policy-level and institutional support.",8,Ethical and Cultural Challenges in GenAI
There is a risk of a disconnect between top-down policy initiatives for digital transformation and the bottom-up realities of classroom practice and teacher beliefs.,7,Pedagogical and Psychological Barriers
"A specific challenge is the discrepancy between AI-generated images and students' specialized prior knowledge (e.g., the inaccurate depiction of logistic robots).",2,Pedagogical and Psychological Barriers
