cluster_id,label,description,key_terms
0,Teacher and Learner Perceptions of GenAI in Education,"This cluster explores the attitudes, confidence, and emotional responses of teachers and learners toward the integration of generative AI in language education. It highlights both positive outcomes, such as enhanced motivation and metacognitive awareness, and challenges, including anxiety, over-reliance, and ethical concerns.","['performance expectancy', 'confidence', 'motivation', 'anxiety', 'metacognitive awareness', 'beliefs', 'attitudes', 'self-reflection', 'task difficulty', 'ethics', 'over-reliance', 'professional development']"
1,Student Perceptions of AI vs Human Feedback,"This cluster explores how students perceive feedback from AI compared to human instructors, focusing on emotional responses, trust, satisfaction, and preferences. It highlights trade-offs between immediacy, personalization, and psychological impacts like anxiety and motivation.","['feedback preference', 'anxiety reduction', 'trust in feedback', 'student satisfaction', 'motivation', 'cognitive load', 'personalized feedback', 'AI vs human feedback', 'psychological well-being', 'perceived usefulness']"
2,GenAI Chatbots Boost Language Learning Confidence,"This cluster highlights the positive impact of GenAI chatbots on language learners' confidence, motivation, and perceived usefulness. Key findings include reduced anxiety, enhanced self-perceived competence, and high satisfaction with interactive and personalized feedback.","['confidence', 'anxiety reduction', 'motivation', 'perceived usefulness', 'satisfaction', 'interactive feedback', 'self-regulated learning', 'human-likeness', 'ease of interaction', 'behavioral intention']"
3,Uncategorized Research Gaps in GenAI,This cluster represents missing or undefined research statements in the intersection of generative AI and language education. The absence of data highlights potential areas for future investigation or incomplete thematic analysis.,"['research gaps', 'undefined themes', 'GenAI limitations', 'language education', 'missing data', 'future research', 'thematic analysis', 'AI in education', 'unexplored topics', 'data absence']"
4,Student Perceptions of ChatGPT in Writing,"This cluster highlights students' positive attitudes and perceptions toward using ChatGPT for writing tasks, emphasizing its utility in enhancing confidence, efficiency, and creativity. It also underscores perceived ease of use, reduced anxiety, and intentions for continued adoption in academic writing.","['perceived usefulness', 'writing confidence', 'effort expectancy', 'academic writing', 'student engagement', 'anxiety reduction', 'continuance intention', 'performance expectancy', 'AI feedback', 'creativity']"
5,GenAI's Impact on Learner and Teacher Perceptions,"This cluster explores how generative AI influences students' and teachers' attitudes, self-efficacy, and emotional responses in language education. It highlights both the perceived benefits, such as enhanced creativity and reduced anxiety, and concerns, including over-reliance, trust issues, and assessment fairness.","['self-efficacy', 'anxiety', 'trust', 'attitude', 'perceived usefulness', 'creativity', 'motivation', 'over-reliance', 'behavioral intentions', 'emotional response']"
6,AI in Language Learning: Attitudes and Engagement,"This cluster explores the multifaceted attitudes, perceptions, and engagement outcomes associated with AI integration in language education. It highlights the evolution of trust, confidence, motivation, and critical awareness among learners and teachers, alongside concerns about reliability, stigma, and overreliance on AI tools.","['attitude', 'trust', 'engagement', 'confidence', 'motivation', 'critical awareness', 'anxiety', 'social influence', 'stigma', 'reliability concerns']"
7,GenAI's Impact on L2 Writing Engagement,"This cluster explores how generative AI tools enhance learner engagement, confidence, and autonomy in second-language (L2) writing. It highlights positive shifts in motivation, reduced anxiety, and improved performance through interactive and supportive AI-mediated experiences.","['engagement', 'confidence', 'autonomy', 'motivation', 'anxiety reduction', 'Task-Technology Fit', 'agency', 'perceived usefulness', 'interactive learning', 'writing performance']"
8,Learner Affect and Performance in AI-Enhanced Language Learning,"This cluster captures the emotional, motivational, and performance-related outcomes of using AI tools in language education. It highlights how AI-driven interventions influence learners' self-efficacy, enjoyment, anxiety, and willingness to communicate, alongside measurable improvements in language skills.","['self-efficacy', 'Foreign Language Enjoyment (FLE)', 'anxiety', 'Willingness to Communicate (WTC)', 'motivation', 'performance', 'academic buoyancy', 'self-directed learning', 'language attitude', 'risk-taking']"
9,Student Engagement and Motivation in AI Language Learning,"This cluster explores how AI and digital tools enhance student engagement and motivation in language education. It highlights the impact of interactive, gamified, and immersive learning experiences on behavioral, cognitive, and emotional involvement, while also addressing factors like intrinsic motivation, extrinsic pressures, and potential disengagement.","['engagement', 'motivation', 'AI in language learning', 'interactive learning', 'gamification', 'intrinsic motivation', 'extrinsic motivation', 'student behavior', 'cognitive engagement', 'disengagement']"
