text,cluster_id,theme
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"AI developers can improve chatbots by enhancing interactivity, human-likeness, and trust, while implementing adaptive difficulty settings and user-friendly interfaces to reduce technology anxiety.",9,AI-Enhanced Language Tools and Chatbots
N/A,0,Uncategorized Research Gaps
Software developers are encouraged to incorporate human-like avatars into GenAI-supported educational tools to create more engaging and personalised learning resources.,6,Policy and Pedagogical Frameworks for AI
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"Governments and businesses are suggested to develop ethical guidelines, establish personal information protection frameworks, and provide financial support to ensure equitable access to AI tools.",5,Ethical and Trustworthy AI Development
L2 researchers can use the validated instrument to measure GenAI literacy in their own studies and explore new areas of AI-powered L2 education.,6,Policy and Pedagogical Frameworks for AI
"AI developers can use insights from the scale to design more user-friendly guidance and built-in tutorials in AI platforms to address specific user needs, such as low strategy use or confidence.",10,AI Integration in Language Education
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"Developers of educational AI tools should prioritize practical capabilities and performance enhancements over simplifying the user interface, as utility is a stronger driver of adoption in this context.",3,AI Integration in Language Education
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"For AI developers, the study highlights the need to create systems that model affective data, support multi-user modes, and enhance the AI's social presence to feel less 'mechanical'.",19,Human-Centered AI Design
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"For researchers, the study provides a validated instrument for measuring GAI literacy and a theoretical framework for future studies in this area.",12,Policy and Pedagogical Frameworks for AI
The study provides a scalable paradigm and accessible pipeline for L2 researchers to computationally track and understand L2 interlanguage systems.,1,AI Integration in Language Education
"Researchers can use the LLM-assisted double annotation approach for more efficient, transparent, and duplicable large-scale corpus analysis.",8,AI in Language Assessment and Research
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"Tool developers could improve the accuracy of feedback on lower-order concerns, enhance sentence-referencing methods, support more file formats like PDFs, and add features to detect potential plagiarism.",17,AI-Enhanced Language Tools and Chatbots
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
GenAI developers can use the findings to better understand user needs and practices in high-stakes academic writing contexts.,6,Policy and Pedagogical Frameworks for AI
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
"AI specialists who design LLMs are advised to improve the quality of ChatGPT by incorporating more reliable, knowledge-based information (especially cultural) to better address learners' long-term goals (ideal L2-self).",6,Policy and Pedagogical Frameworks for AI
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
N/A,0,Uncategorized Research Gaps
