text,cluster_id,theme
Gained skills and confidence in integrating AI into their pedagogical practices.,3,Teacher Roles in AI-Augmented Language Education
Experienced professional growth and pedagogical innovation.,4,AI for Teacher Efficiency and Pedagogy
"Felt empowered to create customized and effective teaching materials, moving beyond traditional models.",4,AI for Teacher Efficiency and Pedagogy
Educators should consider adopting blended learning models that combine CALL with teacher facilitation to support students.,4,AI for Teacher Efficiency and Pedagogy
Teachers need to provide guided orientation and continuous support to help learners overcome challenges in self-directed learning.,4,AI for Teacher Efficiency and Pedagogy
Offers insights for designing differentiated teaching strategies tailored to the four different types of GAI users.,0,
Emphasizes the need for educators to improve their own digital literacy to provide high-quality guidance.,4,AI for Teacher Efficiency and Pedagogy
Provides a pedagogical model for integrating generative AI into writing instruction to foster higher-order thinking.,7,AI for Teacher Efficiency and Pedagogy
"Highlights the instructor's crucial role in providing structured guidance, establishing ethical usage guidelines, and training students in prompt formulation.",4,AI for Teacher Efficiency and Pedagogy
Suggests the use of intellectual standards-based rubrics for AI-assisted peer evaluation to cultivate metacognition.,1,Teacher Roles in AI-Augmented Language Education
Were enabled to create a more learner-friendly environment by using ChatGPT to generate tailored activities and strategies.,2,AI as a Supplementary Language Tool
Could more easily adapt their syllabus in a flexible and responsive manner to meet students' educational and psycho-emotional needs.,4,AI for Teacher Efficiency and Pedagogy
The study suggests that using ChatGPT in this structured way could potentially increase teachers' enjoyment of the teaching process.,2,AI as a Supplementary Language Tool
"Teacher educators must reform and adapt curricula, instruction, and assessment practices to incorporate GenAI.",0,
They are expected to model the ethical and effective use of GenAI tools for their students.,0,
A significant need for professional development is identified to build confidence and competence in using GenAI pedagogically.,0,
Teachers are encouraged to inform students about the potential of chatbots for writing support.,5,Teacher Roles in AI-Augmented Language Education
Teachers can guide students on effective interaction strategies and how to build customized chatbots using RAG techniques.,5,Teacher Roles in AI-Augmented Language Education
"The intervention enhanced pre-service teachers' professional GenAI competence, making them more digitally competent, critically aware, and familiar with GenAI tools for their professional practice.",0,
Experienced a reduced workload in providing comprehensive writing feedback.,7,AI for Teacher Efficiency and Pedagogy
"Were enabled to provide high-quality rhetorical feedback, which was previously too time-consuming.",4,AI for Teacher Efficiency and Pedagogy
Leveraged AI's analytical strengths while maintaining their pedagogical agency and essential teacher-student interaction.,1,Teacher Roles in AI-Augmented Language Education
"The study highlights the indispensable role of instructors in providing structured training, guidance, and facilitating peer interaction, even in AI-rich environments.",1,Teacher Roles in AI-Augmented Language Education
Findings provide a basis for developing scaffolded training programs to integrate AI tools effectively into writing instruction.,7,AI for Teacher Efficiency and Pedagogy
Can integrate ChatGPT into curricula to support diverse language skills.,2,AI as a Supplementary Language Tool
Can design activities that require students to critically evaluate AI-generated content.,3,Teacher Roles in AI-Augmented Language Education
Can encourage both active and passive engagement strategies with the tool.,4,AI for Teacher Efficiency and Pedagogy
