text,cluster_id,theme
"Experienced more engaging, interactive, and personalized learning activities.",5,GenAI in Language Learning Dynamics
Showed improved listening and speaking skills.,1,GenAI in Language Learning Dynamics
Demonstrated increased enthusiasm and active participation in lessons.,5,GenAI in Language Learning Dynamics
"Students can benefit from increased autonomy and motivation through CALL, but require adequate training in digital literacy and self-regulation strategies to use the tools effectively.",5,GenAI in Language Learning Dynamics
"Provides a framework for understanding their own GAI usage patterns through four user types (Collaborative Innovative, Technology-Oriented, Professionally Guided, Novice Exploratory).",0,
Highlights the need for GAI-related courses to improve their research capabilities.,0,
"Improved critical thinking and writing proficiency through a structured, AI-assisted intervention.",8,LLMs Enhance Writing and Motivation
Developed a more positive attitude and higher acceptance towards using generative AI as a learning tool.,2,GenAI in Language Learning Dynamics
Gained a deeper understanding of how to apply abstract CT concepts to the practical task of writing.,8,LLMs Enhance Writing and Motivation
"Significantly increased L2 grit, enhancing their perseverance and interest in achieving long-term goals.",5,GenAI in Language Learning Dynamics
"Felt more cared for by their teachers, reducing feelings of loneliness in the learning journey.",5,GenAI in Language Learning Dynamics
Were empowered to self-regulate their learning process through the use of the AI tool.,2,GenAI in Language Learning Dynamics
Pre-service teachers will need to develop critical AI literacy to evaluate and adapt AI-generated content responsibly.,2,GenAI in Language Learning Dynamics
"Assessment methods are expected to shift towards process-oriented, experiential, and context-based tasks.",5,GenAI in Language Learning Dynamics
"There is a risk of over-reliance on AI, which may affect their learning and professional development.",2,GenAI in Language Learning Dynamics
Empowers students to take ownership of their learning journey by creating tools aligned with their specific goals.,5,GenAI in Language Learning Dynamics
"Enhances engagement and motivation, leading to more effective learning outcomes.",5,GenAI in Language Learning Dynamics
"Provides opportunities for authentic language practice, instant feedback, and targeted instruction.",1,GenAI in Language Learning Dynamics
Pre-service teachers became more aware of using GenAI to cater to diverse student needs and facilitate differentiated instruction.,0,
"Received detailed, individualized feedback on both local (grammar) and global (rhetoric) writing issues.",4,AI Feedback in Language Learning
Demonstrated better engagement with feedback and produced more successful revisions.,4,AI Feedback in Language Learning
Became more aware of their writing errors and how to correct them.,8,LLMs Enhance Writing and Motivation
Experienced reduced writing anxiety and increased confidence in their writing process.,8,LLMs Enhance Writing and Motivation
Developed enhanced self-regulatory skills in selecting and applying AI tools for specific academic writing tasks.,6,AI Feedback in Language Learning
Gained a more nuanced understanding of the ethical use of AI in academic contexts.,2,GenAI in Language Learning Dynamics
"Can use ChatGPT as a versatile tool for self-directed learning to enhance writing, reading, grammar, and vocabulary.",3,GenAI in Language Learning Dynamics
Can engage in both active and passive learning for both dedicated language study and completing work/study tasks in English.,1,GenAI in Language Learning Dynamics
The inconsistency and potential for over-correction in GPT's feedback could be confusing and potentially harmful to the revision process if used without critical evaluation (inferred).,4,AI Feedback in Language Learning
"The ability to receive immediate, detailed, and individualized feedback from GPT could support autonomous learning outside the classroom (inferred).",5,GenAI in Language Learning Dynamics
"Students using avatar-based chatbots experienced positive psychological changes, including increased confidence and willingness to communicate, and reduced anxiety.",3,GenAI in Language Learning Dynamics
Students gained access to additional learning resources and were motivated to engage in autonomous learning.,5,GenAI in Language Learning Dynamics
The learning experience was perceived as more enjoyable and immersive.,5,GenAI in Language Learning Dynamics
"Students can use LLM-based TOD chatbots as an effective and motivating tool for practicing authentic, domain-specific language in a low-anxiety environment.",6,AI Feedback in Language Learning
Students' knowledge of logical concepts and their ability to apply them in argumentative writing were significantly improved.,8,LLMs Enhance Writing and Motivation
"Students experienced enhanced motivation and autonomy in a supportive, self-paced learning environment.",5,GenAI in Language Learning Dynamics
Increased engagement and motivation in language learning activities.,1,GenAI in Language Learning Dynamics
Raised awareness of Global Englishes and the diversity of English worldwide.,1,GenAI in Language Learning Dynamics
Developed critical thinking skills through evaluating AI-generated content.,2,GenAI in Language Learning Dynamics
"GenAI can act as a collaborative assistant, offering alternative word choices and helping to elaborate on ideas, thereby enhancing linguistic and instrumental competence.",0,
Students need to develop critical AI literacy to effectively use GenAI tools and make informed judgments about its outputs.,2,GenAI in Language Learning Dynamics
"The AI's strict, non-contextual assessment could unfairly penalize L2 learners for using common developmental strategies like close paraphrasing, misinterpreting them as poor source use.",6,AI Feedback in Language Learning
"PSTs, as students, benefit from increased efficiency in completing assignments and improving language skills.",5,GenAI in Language Learning Dynamics
"Over-reliance on GenAI can undermine critical thinking, autonomy, and lead to academic integrity issues.",0,
Students need to develop prompt literacy to move beyond superficial engagement with AI.,2,GenAI in Language Learning Dynamics
