"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Document Type","Publication Stage","Open Access","Source","EID"
"Foltýnek, T.; Newton, P.M.","Foltýnek, Tomáš (55603121900); Newton, Philip M. (55763794167)","55603121900; 55763794167","What Does YouTube Advise Students About Bypassing AI-Text Detection Tools? A Pragmatic Analysis","2026","Journal of Academic Ethics","24","1","8","","","0","0","10.1007/s10805-025-09675-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018724094&doi=10.1007%2Fs10805-025-09675-3&partnerID=40&md5=8d075b2aa4c9430fbfa9400866756a08","This study investigates how YouTube videos are advising university students to use ChatGPT, focusing on two main aspects: bypassing detection tools for AI-generated text in written assignments and leveraging ChatGPT as a study tool, using thematic analysis of transcripts from 173 YouTube videos. Videos promoting the bypass of AI-generated text detection emphasize methods such as using AI detectors, “humanizing” text through rewriters, and blending AI-generated content with manual edits. Videos advocating for ChatGPT as a study tool highlight its potential for personalized learning, creating study materials, self-testing, goal setting, and language learning, but also suggest unethical use for assignment completion. Our findings underscore the unreliability of essays in unsupervised environments due to the ease of generating undetectable AI content, suggesting the need for a more diverse range of assessment methods. Furthermore, we recommend that educators guide students in ethical AI use and integrate positive AI applications into their teaching practices. © 2025 Elsevier B.V., All rights reserved.","Bypassing detection; ChatGPT; Cheating; Generative artificial intelligence; YouTube","","","Springer Science and Business Media B.V.","15701727","","","","Article","Final","","Scopus","2-s2.0-105018724094"
"Hmamouche, Y.; Chihab, I.; Kdouri, L.; Seghrouchni, A.E.F.","Hmamouche, Youssef (57170656400); Chihab, Ismail (59398413500); Kdouri, Lahoucine (59398852300); Seghrouchni, Amal El Fallah (6603487525)","57170656400; 59398413500; 59398852300; 6603487525","BrainDEC: A Multimodal LLM for the Non-Invasive Decoding of Text from Brain Recordings","2026","Information Fusion","127","","103589","","","0","0","10.1016/j.inffus.2025.103589","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016454671&doi=10.1016%2Fj.inffus.2025.103589&partnerID=40&md5=006660d802eb2a6672f6508aa2cdd18c","Brain-related research topics in AI have recently gained popularity thanks to the expansion of what multimodal architectures can do from vision to natural language processing. Our main goal is to explore the possibilities and limitations of these architectures in spoken text decoding from non-invasive recordings. Unlike visual and textual data, brain recordings pose unique challenges as a modality, due to (i) the variety of brain imaging scanners, resulting in various recorded signal formats, (ii) the inherent low resolution and noise of raw signals, and (iii) the scarcity of pre-trained foundation models that can be leveraged for generative learning. This make decoding text from fMRI brain recordings a challenging problem. In this paper, we propose and end-to-end multimodal large language model for decoding the spoken text in a human–human or human–robot interactions. The proposed architecture is founded on (i) an encoder derived from a specific transformer with the incorporation of an augmented embedding layer for the encoder and a better-adjusted attention mechanism than that present in the state of the art, and (ii) a frozen LLM adapted via instruction tuning to align the embedding of the input modalities to decode the output text. A benchmark in performed on four publicly available datasets where fMRI brain activity and conversational signals are recorded synchronously. The obtained results are very promising, as our proposal outperforms the evaluated models, and is able to generate text capturing more accurate semantics present in the ground truth. The implementation code is provided in this URL. © 2025 Elsevier B.V., All rights reserved.","Brain-language learning; Instruction tuning; MLLMs; Non-invasive brain recordings","Brain; Brain mapping; Computational linguistics; Computer architecture; Decoding; Embeddings; Interactive computer systems; Natural language processing systems; Neurophysiology; Signal encoding; Brain-language learning; Instruction tuning; Language learning; MLLM; Multi-modal; Multimodal architectures; Natural languages; Non-invasive brain recording; Research topics; Semantics","","Elsevier B.V.","15662535","","","","Article","Final","","Scopus","2-s2.0-105016454671"
"Pan, M.; Lai, C.; Guo, K.; J.","Pan, Mengru (59218249100); Lai, Chun (36801895400); Guo, Kai (57222184188)","59218249100; 36801895400; 57222184188; 60132128500","Self-regulation plus individual interests? A design-based study on the development of a GenAI-empowered platform for self-directed out-of-class reading","2026","Computers and Education","241","","105474","","","0","0","10.1016/j.compedu.2025.105474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018172686&doi=10.1016%2Fj.compedu.2025.105474&partnerID=40&md5=e67157e59ed23393ec008b54eb19a4f0","Self-directed out-of-class reading contributes to language and general learning, yet many learners struggle with it and need support. Generative Artificial Intelligence (GenAI) holds the potential to provide personalized support that can facilitate self-directed out-of-class reading. This study adopted a design-based research (DBR) methodology to unravel the effective design of GenAI-empowered self-directed out-of-class reading by comparing different ways of integrating a ChatGPT chatbot into an online reading platform in supporting the provision of reading texts and delivering self-regulated learning (SRL) support. The DBR study included three cycles: a conventional approach in Cycle 0 (i.e., a preset pool of reading materials plus human-delivered SRL training), a chatbot-empowered personalized SRL platform in Cycle 1 (i.e., GenAI-recommended reading materials and chatbot-supported personalized SRL training), and a chatbot-empowered interest-based reading with personalized SRL platform in Cycle 2 (i.e., GenAI-recommended interest-based reading materials and chatbot-supported personalized SRL training). This DBR study lasted three semesters, involving one hundred and sixteen English as a foreign language (EFL) students from three classes at a university in China. Qualitative data from open-ended surveys and interviews after each cycle were used to refine the platform design in the subsequent cycle. Quantitative data, including pre- and post-surveys on self-regulated reading strategy use and self-directed reading, along with log data, were analyzed to compare the effects of the platform design on students' self-regulated strategy use and self-directed reading across three cycles. The results indicated that the chatbot-empowered interest-based reading with personalized SRL training showed the greatest potential in enhancing students’ self-regulated reading strategy use and self-directed reading. This study contributes to the existing literature by elucidating the design principles that enhance self-directed out-of-class reading. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; Design-based research; Out-of-class reading; Self-directed learning; Self-regulated learning","Design; E-learning; Learning systems; Students; Chatbots; Design-based research; Learning platform; Out-of-class reading; Platform design; Research studies; Self-directed; Self-directed learning; Self-regulated learning; Strategy use; Artificial intelligence","","Elsevier Ltd","03601315","","COMED","","Article","Final","","Scopus","2-s2.0-105018172686"
"Alraddadi, B.M.","Alraddadi, Budoor Muslim (60079085700)","60079085700","Using ChatGPT to Teach and Learn English as a Foreign Language: Teachers’ and Learners’ Perspectives; استخدام شات جي بي تي لتدريس وتعلم اللغة الإنجليزية كلغة أجنبية: وجهات نظر المعلمين والمتعلمين","2026","Dirasat: Human and Social Sciences","53","2","7861","","","0","0","10.35516/Hum.2025.7861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014618451&doi=10.35516%2FHum.2025.7861&partnerID=40&md5=d6f3f8531fa7306877e00c58bb4db49b","Objectives: Artificial intelligence (AI) is widely used for the teaching and learning of English as a foreign language (EFL). In this study, the author explores teachers’ and learners’ perspectives on the use of AI tools (specifically, the ChatGPT tool) for EFL teaching and learning. Methods: A mixed (quantitative and qualitative) research design was used to collect and analyse the data. Questionnaires were distributed that included both closed-ended and open-ended questions. The sample comprised 52 EFL teachers and 98 learners (both male and female). Results: The teachers exhibited positive attitudes towards using ChatGPT as a teaching and learning tool; only a small number thought that it could have negative impacts on students, such as overreliance on the tool. Moreover, the results demonstrated that, although ChatGPT is a powerful tool, it should be used with caution and requires certain measures to ensure its successful application. Conclusion: According to the data, learners believed that using ChatGPT could help improve their language skills, especially their writing proficiency, vocabulary acquisition, and grammatical accuracy, and they felt comfortable using it for language learning. The study provides insights into using AI tools, such as ChatGPT, in EFL classes and thus makes a valuable contribution to EFL teaching and learning. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence (AI); ChatGPT; EFL context; language skills; learning; teaching","","","University of Jordan,Deanship of Scientific Research","10263721; 26636190","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105014618451"
"Anand, G.; Porel, M.","Anand, Geethanjali (58909894100); Porel, Mintu (26531922900)","58909894100; 26531922900","Hydroxy-terminated tunable triazole scaffolds for selective and discriminative lead (II)/silver (I) detection and their removal, and protein interaction profiling","2026","Talanta","297","","128643","","","0","0","10.1016/j.talanta.2025.128643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012124189&doi=10.1016%2Fj.talanta.2025.128643&partnerID=40&md5=6b7e3416059f01077a07f65595d35890","Lead (II) and silver (I) contamination pose serious risks to environmental and human health, requiring efficient detection and remediation strategies. Herein, a functionally tunable molecule with four hydroxy groups and two triazole moieties is introduced. The incorporation of a dansyl fluorophore enabled selective detection, with limits of detection of 38.5 nM for silver ions and 57.7 nM for lead ions. Silver (I) detection was visually apparent through a brownish-yellow color change and a UV peak at 448 nm, ensuring clear visual and spectral differentiation from lead (II) ions. A paper-based sensing strip was developed for rapid, on-site detection, and positive quenching observed in real water samples including lake and tap water further supports its practical adaptability. Time-resolved fluorescence lifetime studies confirmed static quenching, while molecular electrostatic potential mapping identified key metal-binding sites. Strong metal coordination by triazole and hydroxy groups facilitated the precipitation of toxic ions from water, serving as an effective removal agent for water decontamination. Beyond sensing, fine-tuning the molecular design by replacing the dansyl group with hydrogen enhanced water solubility, improving biological compatibility. Steady-state fluorescence and molecular docking studies with human serum albumin, bovine serum albumin, lysozyme, and ribonuclease A revealed strong binding affinities and favorable interaction energies, highlighting the biomedical relevance. This multifunctional platform offers a seamless bridge between environmental remediation and biological applications, demonstrating its broad potential. © 2025 Elsevier B.V., All rights reserved.","Colorimetric detection and discrimination; Lead (II) sensor; Metal removal; Molecular docking; Protein interaction; Silver (I) sensor","Binding energy; Binding sites; Body fluids; Chemical detection; Fluorescence quenching; Health risks; Metal ions; Molecular modeling; Remediation; Silver compounds; Colorimetric detection; Colorimetric detection and discrimination; Detection and discriminations; Hydroxy groups; Lead (II) sensor; Metal removal; Molecular docking; Protein interaction; Silver (I) sensor; Tunables; Colorimetry; Lead compounds; biomaterial; hydroxy terminated tunable triazole scaffold; lead; lead II; silver; silver I; unclassified drug; Article; binding affinity; biological activity; chemical analysis; contamination; controlled study; density functional theory; energy dispersive X ray spectroscopy; fluorescence analysis; Fourier transform infrared spectroscopy; high performance liquid chromatography; inductively coupled plasma atomic emission spectrometry; lead and silver removal; liquid chromatography-mass spectrometry; molecular biology; molecular docking; nonhuman; precipitation; protein interaction; risk assessment; scanning electron microscopy; steady state; ultraviolet spectrophotometry; X ray diffraction","","Elsevier B.V.","00399140; 18733573","","TLNTA","","Article","Final","","Scopus","2-s2.0-105012124189"
"Chandel, P.; Lim, F.V.","Chandel, Pragya (59532800700); Lim, Fei Victor (55241460700)","59532800700; 55241460700","Generative AI and Literacy Development in the Language Classroom: A Systematic Review of Literature","2025","Ubiquitous Learning","18","2","","31","49","0","9","10.18848/1835-9795/CGP/v18i02/31-49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213975185&doi=10.18848%2F1835-9795%2FCGP%2Fv18i02%2F31-49&partnerID=40&md5=9960f5f04c8526425af050640d8e99fd","Given the rapid advancement of generative AI (GenAI) and its impact on the language classroom, this article reviews the nascent research on this topic to offer the current state of the art as well as propose future research directions. This article reports on a systematic review of literature on the use of GenAI for literacy development in language classrooms. Literacy development includes both language learning outcomes, such as writing and vocabulary learning, as well as multiliteracies learning outcomes, including engagement with multimodal texts and digital literacies. The systematic review critically examines how GenAI tools are employed by students and teachers as well as their perceptions of the use of GenAI tools in literacy teaching and learning. By synthesizing these insights, the review aims to inform the design of learning experiences with GenAI tools that can bring about improved student learning. © 2025 Elsevier B.V., All rights reserved.","Digital Literacy; Generative Artificial Intelligence; Language Learning; Literacy; Multiliteracies","","","Common Ground Research Networks","18359795","9780252034961","","","Article","Final","","Scopus","2-s2.0-85213975185"
"Ren, X.","Ren, Xiaobin (57487696000)","57487696000","We want but we can’t: measuring EFL translation majors’ intention to use ChatGPT in their translation practice","2025","Humanities and Social Sciences Communications","12","1","256","","","0","3","10.1057/s41599-025-04604-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219024217&doi=10.1057%2Fs41599-025-04604-6&partnerID=40&md5=680338687da05a5c0b0852a93a6b0989","This study integrated technology acceptance model, theory of planned behaviour, and self-determination theory to explore translation majors’ intentions to use ChatGPT in their translation practice. Employing a quantitative research design, the study collected data from 385 English as a foreign language (EFL) translation majors across various universities in China. Analysis revealed that perceived usefulness significantly influenced students’ intentions, overshadowing perceived ease of use due to access constraints in China. Findings indicate that both controlled and autonomous motivations, along with subjective norms and attitudes, robustly shape intentions to use ChatGPT. This study challenged the conventional focus of technology acceptance model on perceived ease of use and modified the traditional theory of planned behaviour by excluding perceived behavioural control. These findings underscore the critical role of motivational and social factors in the adoption of AI tools in translation learning. The results highlight the need for tailored pedagogical approaches that integrate more accessible AI platforms, and accommodate both external motivations and intrinsic interests. © 2025 Elsevier B.V., All rights reserved.","","","","Springer Nature","26629992","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85219024217"
"Rahimi, A.R.; Mosalli, Z.","Rahimi, Amir Reza (57841161300); Mosalli, Zahra (55427938700)","57841161300; 55427938700","Language learners’ surface, deep, and organizing approaches to ChatGPT-assisted language learning: What contextual, individual, and ChatGPT-related factors contribute?","2025","Smart Learning Environments","12","1","16","","","0","3","10.1186/s40561-025-00368-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218270504&doi=10.1186%2Fs40561-025-00368-3&partnerID=40&md5=ec3fbd6f968428137c4e3917b7eed1bf","Researchers have significantly explored language learners' attitudes toward ChatGPT through the lens of technology acceptance models, particularly with its development and integration into computer-assisted language learning (CALL). However, further research in this area is necessary to apply a theoretical framework with a pedagogical-oriented perspective. Therefore, in this study, the researchers utilized students' approaches to the learning environment (SAL) and extended it by incorporating a multilevel perspective that encompasses contextual, individual, and ChatGPT-related factors. Accordingly, the researchers integrated ChatGPT into their language syllabus and guided learners in three universities in Ardabil City to use ChatGPT during the academic year 2023–2024. In the end, 214 participants answered the study questionnaire. The result of the partial least squares modeling (PLS-SEM), and Importance performance map analysis (IPMA) showed that ChatGPT leadership, where the university executive provides the atmosphere for the norms of ChatGPT integration, could significantly shape language learners’ organizing approach to using it in their daily academic schedule. Additionally, personalization and anthropomorphism were among the significant ChatGPT-related factors that shaped learners’ deep approach to using ChatGPT as a source for meaningful, cross-referenced CALL tool. However, low feedback reliability, privacy concerns, and the ChatGPT's perceived value contributed to language learners' surface approach to minimizing its use as a ChaGPT-related factor. On the basis of these findings, the study introduces a new conceptual framework for CALL and artificial intelligence language learning (AILL) and suggests that ChatGPT leadership should be promoted at a macro-contextual level that might cover other micro-contextual, personal, and ChatGPT-related factors, including ChatGPT's price-value, personalization, and language learners' motivation, which are important elements to shape learners' approaches to CHAGPTALL. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence in education; Artificial intelligence language learning (AILL); ChatGPT in Education; Computer Assisted Language Learning (CALL); Students’ Approaches to learning environment (SAL)","","","Springer","21967091","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218270504"
"Lee, S.; Eronen, J.","Lee, Saeun (59495234900); Eronen, Juuso Kalevi Kristian (57195920172)","59495234900; 57195920172","Transforming English education in Japan by utilizing large language models for tailored learning and diverse skill development","2025","Discover Education","4","1","403","","","0","0","10.1007/s44217-025-00856-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018703949&doi=10.1007%2Fs44217-025-00856-1&partnerID=40&md5=9acb4d1b441063d0a4d464e6b957f375","The integration of advanced generative AI has profoundly influenced higher education, especially in language learning. In Japan’s exam-focused and teacher-centered English education system, students have few opportunities to use generative AI to enhance critical skills like analysis, evaluation, and creativity. Learning often remains passive, with an emphasis on memorization and testing rather than on higher-order thinking skills (HOTS). To address these issues, the authors propose a new AI-driven approach to language teaching that combines HOTS with lower-order thinking skills (LOTS), based on Bloom’s revised taxonomy. This method aims to promote deeper engagement, critical thinking, and active learning through AI-assisted activities such as information synthesis and problem-solving. The approach utilizes large language models, like LLaMA 3, to offer personalized learning experiences tailored to students’ English abilities and individual interests. Pre-prompts guide learning toward specific objectives such as vocabulary, grammar, and pronunciation. Furthermore, the plan includes integrating the system with an AI assistant robot to increase interactivity and immersion. While concerns about diminished human interaction, privacy, algorithmic bias, and accessibility persist, AI-powered language learning has the potential to bring significant advantages to Japan’s higher education system. By providing a supportive, non-judgmental environment, generative AI can help overcome the challenge of communication in English, boost student confidence, and support the digital transformation of education, ultimately aiding students in preparing to live in a global society. © 2025 Elsevier B.V., All rights reserved.","Critical thinking skills; English Education in Japan; Large language models (LLMs); Personalized learning","","","Discover","27315525","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018703949"
"Gong, F.; Wang, H.; Du, C.; Hao, J.; Gao, J.","Gong, Faming (15730995500); Wang, Hao (59324566900); Du, Chengze (57212601185); Hao, Junjie (59407746000); Gao, Jingcheng (59236929300)","15730995500; 59324566900; 57212601185; 59407746000; 59236929300","LLM-TFNet: a method of production prediction on electric submersible pump wells based on large language model","2025","Cluster Computing","28","15","972","","","0","0","10.1007/s10586-025-05685-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018673482&doi=10.1007%2Fs10586-025-05685-3&partnerID=40&md5=c23183a19ec2df4ea37beb4361223089","Electric submersible pumps (ESPs) are essential components of oilfield production systems, and are widely used across various operational environments. However, production prediction for ESPs is particularly challenging because of the influence of multiple factors, including geological conditions, reservoir properties, and equipment status. Current approaches rely primarily on physical mechanism models or conventional data-driven approaches, which often fail to effectively capture complex temporal relationships and multidimensional features, resulting in limited prediction accuracy. To address these challenges, this paper proposes an advanced LLM-TFNet model based on large language model (LLM) to accurately predict the daily output of ESPs. The proposed model introduces an input conversion layer, a patch reprogramming layer, and an output projection layer, and integrates multilevel modal fusion (MLMF) to reprogram the LLM. This effectively reframes the ESP time series prediction task as a language modeling task. Additionally, we introduce a time–frequency channel attention mechanism (TFCAM) based on the discrete cosine transform (DCT), enabling comprehensive modeling of combined features in both the time and frequency domains. This approach significantly enhances the ability to capture the intricate temporal patterns of ESPs. To improve learning efficiency, an adaptive expert allocation mechanism (AEAM) is introduced, which dynamically assigns networks to select suitable expert subnetworks for feature extraction to improve computational efficiency and prediction accuracy. Comparative experiments against machine learning models, transformer-based methods, and LLM-based methods demonstrate that our method achieves a performance gain of 1.07%–20.68% across various evaluation metrics. Ablation experiments further validate the effectiveness of our proposed framework. When real production data from an offshore oilfield were tested, the model achieved a prediction accuracy of 95% with an average error of less than 0.8 tons, meeting practical production requirements. © 2025 Elsevier B.V., All rights reserved.","Adaptive expert allocation mechanism; Electric submersible pumps; Large language model; Multilevel modal fusion; Time-series prediction; Time–frequency channel attention mechanism","Computational efficiency; Electric machine theory; Electric oil well pumping; Forecasting; Learning systems; Machine learning; Modeling languages; Offshore oil fields; Offshore oil well production; Offshore oil wells; Oil well flooding; Petroleum reservoir evaluation; Submersibles; Time series; Well stimulation; Adaptive expert allocation mechanism; Allocation mechanism; Attention mechanisms; Electric submersible pumps; Frequency channels; Language model; Large language model; Multilevel modal fusion; Multilevels; Time frequency; Time series prediction; Time–frequency channel attention mechanism; Submersible pumps","","Springer","13867857","","","","Article","Final","","Scopus","2-s2.0-105018673482"
