Authors;Title;Abstract;Author Keywords;Index Keywords;Source Title;Document Type;Publisher;DOI;ISSN;ISBN;Book Authors;Group Authors;Book Group Authors;Book Editors;Book Series Title;Book Series Subtitle;Volume;Issue;Special Issue;Start Page;End Page;Book DOI;Early Access Date;Publication Date;Publication Year;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Indexed Date;Cited by;Link;PubMed ID;SJR_Q;JCR_Q;SJR_found;JCR_found
"Rabbani, Naveed; Brown, Conner; Bedgood, Michael; Goldstein, Rachel L.; Carlson, Jennifer L.; Pageler, Natalie M.; Morse, Keith E.";Evaluation of a Large Language Model to Identify Confidential Content in Adolescent Encounter Notes;This cross-sectional study assesses the ability of a language learning model to classify whether a progress note contains confidential information and to identify the specific confidential content in the note.;;;JAMA PEDIATRICS;Letter;;10.1001/jamapediatrics.2023.6032;"2168-6203; 2168-6211";;;;;;;;178;3;;308;310;;JAN 2024;MAR 2024;2024;5;0;5;2024-02-06;;;;Q1;Q1;True;True
"Yang, Y.; Tong, T.; Li, X.; Zheng, H.; Yao, S.; Deng, J.; Zhang, Q.; Liu, Z.; Huang, X.; Li, H.; Mu, Y.; Ma, S.";The Phase-Transited Lysozyme Coating Modified Small Intestinal Submucosa Membrane Loaded with Calcium and Zinc Ions for Enhanced Bone Regeneration;Bone defects caused by severe trauma, tumors, infections and diseases remain a global challenge due to limited natural regeneration capacity of bone tissue in large-scale or complex injuries. Guided bone regeneration (GBR) has emerged as a pivotal technique in addressing these issues, relying on barrier membranes to facilitate osteoprogenitor cell infiltration. Current clinical GBR membranes function solely as physical barriers, lacking antibacterial and osteoinductive properties, which underscores the need for advanced alternatives. This study focuses on resorbable GBR membranes made from small intestinal submucosa (SIS), known for biocompatibility and tissue regeneration but hindered by low mechanical strength and rapid degradation. In addition, SIS lacks both antibacterial properties and strong osteogenic capabilities. Enhancements involve crosslinking treatment and dual incorporation of calcium (Ca2+) and zinc (Zn2+), which address the physical property shortcomings and synergistically boost osteoinductivity by activating osteogenic signaling pathways. Additionally, phase-transited lysozyme (PTL) nanofilm technique enables efficient ion loading and controlled release, while offering antibacterial properties. In this study, a multifunctional SIS membrane is constructed by PTL-ions layers, providing a potential solution to the challenge of clinical bone defects. © 2025 Elsevier B.V., All rights reserved.;"guided bone regeneration; metal ions; phase-transited lysozyme; small intestinal submucosa; surface modification";"Cell signaling; Nafion membranes; Photoelectricity; Tissue regeneration; Antibacterial properties; Bone defect; Calcium ions; Guided bone regeneration; Metals ions; Osteogenic; Phase-transited lysozyme; Regeneration membrane; Small intestinal submucosa; Surface-modification; Bone; alkaline phosphatase; bone morphogenetic protein 2; calcium; glyceraldehyde 3 phosphate dehydrogenase; interleukin 10; interleukin 1beta; lysozyme; osteopontin; transcription factor RUNX2; transforming growth factor beta; tumor necrosis factor; zinc; antiinfective agent; biocompatible coated material; animal cell; animal experiment; animal model; animal tissue; antibacterial activity; Article; biocompatibility; biodegradation; BMSC cell line; bone defect; bone regeneration; cell culture; cell migration; cell structure; cell viability assay; hemolysis; immunofluorescence; in vitro study; inductively coupled plasma atomic emission spectrometry; Intestinal submucosa membrane; male; membrane; mouse; nonhuman; osteoblast; rat; RAW 264.7 cell line; real time polymerase chain reaction; signal transduction; Streptococcus gordonii; Streptococcus sanguinis; Western blotting; animal; artificial membrane; bone development; chemistry; drug effect; human; intestine mucosa; metabolism; small intestine; Animals; Anti-Bacterial Agents; Bone Regeneration; Calcium; Coated Materials, Biocompatible; Humans; Intestinal Mucosa; Intestine, Small; Membranes, Artificial; Mice; Muramidase; Osteogenesis; Zinc";Advanced Healthcare Materials;Article;John Wiley and Sons Inc;10.1002/adhm.202404564;"21922640; 21922659";"9781118774205; 9781118773598";;;;;;;14;10;;;;;;;;;;;;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218706102&doi=10.1002%2Fadhm.202404564&partnerID=40&md5=646847968e231b317fd118d71733111d;39995373;Q1;Q1;True;True
"Rahimi, Ehsan; Palacios-Corella, Mario; Mol, Arjan; Pane, Salvador; Puigmarti-Luis, Josep";Kelvin Probe Force Microscopy in Bionanotechnology: Current Advances and Future Perspectives;Kelvin probe force microscopy (KPFM) is a highly advanced technique offering notable surface sensitivity and high lateral resolution, ranging from micrometres to the sub-nanometre scale. This scanning probe technique effectively detects local electrical surface potential (ESP), influenced charge distribution, and work function differences, making it essential for studying biological and biochemical processes, from single molecules to complex cellular structures. By enabling nanometre-resolution analysis under simulated conditions, KPFM provides crucial insights into the physicochemical evolution, functionality, and structural organization of biomolecular systems. Recent advancements have significantly expanded KPFM's capabilities, revealing ESP characteristics in diverse biological entities, including single proteins, DNA strands, lipid films, fibrils, and complex neuronal structures. The technique also facilitates the study of biomolecular nanolayers on advanced nanomaterials like gold nanoparticles and carbon nanotubes, enhancing its role in bio-nanotechnology. Such versatility highlights KPFM's transformative potential in elucidating biomolecular interactions at unprecedented resolutions. This review critically analyses recent advancements, addresses ongoing challenges in measuring ESP in biological samples, and highlights emerging strategies to improve resolution and sensitivity. Additionally, KPFM's implications in diagnostics, biosensing, tissue engineering, therapeutics, drug screening, and Alzheimer's research are explored, establishing it as a powerful tool at the intersection of nanotechnology and biomedical innovation.;;;ADVANCED MATERIALS;"Review; Early Access";;10.1002/adma.202510671;"0935-9648; 1521-4095";;;;;;;;;;;;;;SEP 2025;;2025;0;2;2;2025-09-08;;;;Q1;Q1;True;True
"Wu, Qiong; Xu, Anfeng; Wu, Q.; Xu, A.";Poe or Gemini for fostering writing skills in Japanese upper-intermediate learners: Uncovering the consequences on positive emotions, boredom to write, academic self-efficacy and writing development;"The integration of AI-based platforms, such as Poe and Gemini, into language instruction has garnered increasing attention for their potential to enhance writing skills. Despite this interest, little is known about their effects on EFL learners' positive emotions (PEs), academic self-efficacy and boredom in writing. Addressing this gap, the present study investigated the effectiveness of Poe and Gemini in developing writing skills and explored their impact on learners' PEs, academic self-efficacy and boredom among learners at the upper-intermediate level. For this purpose, a total of 519 Japanese upper-intermediate EFL learners were randomly assigned to three groups: (1) Poe-assisted writing instruction; (2) Gemini-assisted writing instruction; and (3) a control group (CG) receiving traditional instruction. The study employed a mixed-methods design, incorporating both quantitative and qualitative data collection. Writing development was assessed through pre- and post-tests, while learners' emotions, boredom and academic self-efficacy were measured using validated scales. Additionally, qualitative data were gathered through interviews and analysed using coding and thematic analysis to understand learners' attitudes and perceptions. Quantitative data were analysed using ANOVA and MANOVA to compare the outcomes across the three groups. The findings revealed that both Poe and Gemini significantly improved learners' writing skills compared to the CG, with no substantial differences in effectiveness between the two platforms. Participants in the Poe and Gemini groups reported heightened PEs and increased academic self-efficacy, alongside reduced boredom during writing tasks. The qualitative findings corroborated these results, highlighting the platforms' role in fostering greater enthusiasm, engagement, autonomy and motivation in English language learning. The study concludes by offering a range of implications for different stakeholders. © 2025 Elsevier B.V., All rights reserved.";"academic self-efficacy; AI-based writing instruction; boredom; Gemini; Poe; positive emotions; writing development";;British Educational Research Journal;"Article; Early Access";John Wiley and Sons Inc;10.1002/berj.4119;"0141-1926; 14693518; 01411926; 1469-3518";;;;;;;;;;;;;;JAN 2025;;2025;2;35;68;2025-01-20;2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215073016&doi=10.1002%2Fberj.4119&partnerID=40&md5=1eea1cdf347e4fcbc75476db3dd7e516;;Q1;Q1;True;True
"Wang, Meiping; Akhter, Shamim; Wang, M.; Akhter, S.";Tracing interpersonal emotion regulation, behavioural emotion regulation strategies, hopelessness and vocabulary retention within Bing vs. ChatGPT environments;Despite the growing integration of artificial intelligence (AI) in language education, limited research has explored its impact on emotional regulation and vocabulary retention, particularly in English as a foreign language (EFL) contexts. This study addressed this gap by comparing the effects of Bing and ChatGPT environments on interpersonal emotion regulation (IER), behavioural emotion regulation strategies (BERS), hopelessness and vocabulary retention among 458 upper-intermediate Chinese EFL learners. Participants were divided into three groups: Bing, ChatGPT and a control group (CG) receiving traditional instruction. Both AI-supported groups engaged with identical content and tasks on their respective platforms, while the CG followed a conventional curriculum. A mixed-methods design was employed, incorporating quantitative pre- and post-tests and qualitative semi-structured interviews. The one-way ANOVA results revealed that both AI groups significantly outperformed the CG across all measures, with no statistical difference between Bing and ChatGPT groups. The learners in AI-supported conditions reported reduced hopelessness and improved IER and BERS, alongside notable vocabulary retention. In agreement with the quantitative results, the qualitative findings highlighted the engaging and supportive nature of AI environments, which led to improved IER, BERS and vocabulary retention and reduced hopelessness in the EFL learners. These results suggest that integrating AI tools like Bing and ChatGPT in EFL classrooms can enhance emotional well-being and language acquisition, offering valuable pedagogical insights for educators seeking to leverage technology in language instruction. © 2025 Elsevier B.V., All rights reserved.;"AI environments; behavioural emotion regulation strategies; Bing; ChatGPT; Chinese EFL learners; hopelessness; interpersonal emotion regulation; vocabulary retention";;British Educational Research Journal;"Article; Early Access";John Wiley and Sons Inc;10.1002/berj.4137;"0141-1926; 14693518; 01411926; 1469-3518";;;;;;;;;;;;;;FEB 2025;;2025;1;35;63;2025-02-18;3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218840105&doi=10.1002%2Fberj.4137&partnerID=40&md5=b6380d6bfa8db998259c7b54a347e918;;Q1;Q1;True;True
"Zare, D.; Piguet, C.; Prescimone, A.; Housecroft, C.E.; Constable, E.C.";Positive Cooperativity Induced by Interstrand Interactions in Silver(I) Complexes with α,α'-Diimine Ligands;Invited for the cover of this issue are Davood Zare, Claude Piguet, Edwin C. Constable and co-workers at the University of Basel and the University of Geneva. The image depicts a [AgI L]+ intermediate about to catch a second α,α'-diimine ligand to form the stable [AgI L2 ]+ . Read the full text of the article at 10.1002/chem.202200912. This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine;;"ligand; silver; human; Humans; Ligands; Silver";Chemistry - A European Journal;Article;NLM (Medline);10.1002/chem.202201914;"09476539; 15213765";;;;;;;;28;42;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135377601&doi=10.1002%2Fchem.202201914&partnerID=40&md5=053b2bc69370befc077c64995e5d9478;35773237;Q1;Q2;True;True
"Yurtcu, Engin; Ozvural, Seyfettin; Keyif, Betul; Yurtçu, E.; Ozvural, S.; Keyif, B.";Analyzing the performance of ChatGPT in answering inquiries about cervical cancer;Objective: To analyze the knowledge of ChatGPT about cervical cancer (CC). Methods: Official websites of professional health institutes, and websites created by patients and charities underwent strict screening. Using CC-related keywords, common inquiries by the public and comments about CC were searched in social media applications with these data, a list of frequently asked questions (FAQs) was prepared. When preparing question about CC, the European Society of Gynecological Oncology (ESGO), European Society for Radiotherapy and Oncology (ESTRO), and European Society of Pathology (ESP) guidelines were used. The answers given by ChatGPT were scored according to the Global Quality Score (GQS). Results: When all ChatGPT answers to FAQs about CC were evaluated with regard to GQS, 68 ChatGPT answers were classified as score 5, and none of ChatGPT answers for FAQs were scored as 2 or 1. Moreover, ChatGPT answered 33 of 53 (62.3%) CC-related questions based on ESGO, ESTRO, and ESP guidelines with completely accurate and satisfactory responses (GQS 5). In addition, eight answers (15.1%), seven answers (13.2%), four answers (7.5%), and one answer (1.9%) were categorized as GQS 4, GQS 3, GQS 2, and GQS 1, respectively. The reproducibility rate of ChatGPT answers about CC-related FAQs and responses about those guideline-based questions was 93.2% and 88.7%, respectively. Conclusion: ChatGPT had an accurate and satisfactory response rate for FAQs about CC with regards to GQS. However, the accuracy and quality of ChatGPT answers significantly decreased for questions based on guidelines. © 2025 Elsevier B.V., All rights reserved.;"artificial intelligence; cervical cancer; ChatGPT; guideline";"Article; ChatGPT; clinical practice guideline; data accuracy; human; medical information; social media; social welfare; uterine cervix cancer; diagnosis; female; practice guideline; questionnaire; uterine cervix tumor; Female; Humans; Practice Guidelines as Topic; Social Media; Surveys and Questionnaires; Uterine Cervical Neoplasms";International Journal of Gynecology and Obstetrics;Article;John Wiley and Sons Ltd;10.1002/ijgo.15861;"0020-7292; 18793479; 00207292; 1879-3479";;;;;;;;168;2;;502;507;;AUG 2024;FEB 2025;2025;9;2;5;2024-08-21;9;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201322515&doi=10.1002%2Fijgo.15861&partnerID=40&md5=8610256d9be13212234d7013b44df83a;39148482;Q1;Q2;True;True
"Reicher, Lee; Lutsker, Guy; Michaan, Nadav; Grisaru, Dan; Laskov, Ido";Exploring the role of artificial intelligence, large language models: Comparing patient-focused information and clinical decision support capabilities to the gynecologic oncology guidelines;Gynecologic cancer requires personalized care to improve outcomes. Large language models (LLMs) hold the potential to provide intelligent question-answering with reliable information about medical queries in clear and plain English, which can be understood by both healthcare providers and patients. We aimed to evaluate two freely available LLMs (ChatGPT and Google's Bard) in answering questions regarding the management of gynecologic cancer. The LLMs' performances were evaluated by developing a set questions that addressed common gynecologic oncologic findings from a patient's perspective and more complex questions to elicit recommendations from a clinician's perspective. Each question was presented to the LLM interface, and the responses generated by the artificial intelligence (AI) model were recorded. The responses were assessed based on the adherence to the National Comprehensive Cancer Network and European Society of Gynecological Oncology guidelines. This evaluation aimed to determine the accuracy and appropriateness of the information provided by LLMs. We showed that the models provided largely appropriate responses to questions regarding common cervical cancer screening tests and BRCA-related questions. Less useful answers were received to complex and controversial gynecologic oncology cases, as assessed by reviewing the common guidelines. ChatGPT and Bard lacked knowledge of regional guideline variations, However, it provided practical and multifaceted advice to patients and caregivers regarding the next steps of management and follow up. We conclude that LLMs may have a role as an adjunct informational tool to improve outcomes.ChatGPT and Bard provide appropriate responses to patient's perspective gynecologic oncologic questions, but is less useful for complex questions compared with the National Comprehensive Cancer Network/European Society of Gynecological Oncology guidelines.;;;INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS;Review;;10.1002/ijgo.15869;"0020-7292; 1879-3479";;;;;;;;168;2;;419;427;;AUG 2024;FEB 2025;2025;9;2;8;2024-08-23;;;;Q1;Q2;True;True
"Tour, E.; Zadorozhnyy, A.";Conceptualizing and Operationalizing Prompt Literacy for English Language Learners;Recent developments in Generative Artificial Intelligence (GenAI) technologies have had significant implications for English language education worldwide, opening up new opportunities and challenges. Both researchers and practitioners are increasingly exploring the necessary capabilities that English language learners should possess in relation to GenAI. Prompt literacy, or a combination of multiple capabilities required to engage in dynamic and iterative interaction with GenAI, is often seen as essential because the quality of prompts directly impacts the relevance, accuracy, and creativity of the AI-generated output. However, little is known about how teachers can scaffold prompt literacy in English language learning contexts where learners have specific needs. This discussion article addresses this gap by exploring how the Four Resources Model of literacy can be used for teaching prompt literacy in language learning contexts, alongside some practical examples that can be used to guide teaching practices. © 2025 Elsevier B.V., All rights reserved.;"English language learners; generative AI; new literacies; prompt literacy; sociocultural theories";;Journal of Adolescent and Adult Literacy;Article;John Wiley and Sons Inc;10.1002/jaal.70020;10813004;;;;;;;;69;3;;;;;;;;;;;;0;https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014797973&doi=10.1002%2Fjaal.70020&partnerID=40&md5=e58a2d9c54cd4d1b6c3d9ca956fd1aec;;Q2;Q2;True;True
"Kaya, Sibel; Yuksel, Dogan; Curle, Samantha; Kaya, S.; Yuksel, D.; Curle, S.";The effects of language learning and math mindsets on academic success in an engineering program;"Background: Mindsets are based on two basic assumptions: some people think that their intellectual abilities can be developed through hard work and instruction (i.e., a growth mindset), whereas others believe that nothing can change their level of intellectual ability (i.e., a fixed mindset). The association between mindsets and academic achievement has been examined in different academic subjects, such as biology and math. However, no previous study has examined the effects of language learning mindsets (LLMs) and math mindsets (MMs) on academic success in an English medium instruction (EMI) setting in which English, rather than the first language of the students, is used for teaching content (e.g., mechatronics engineering). Purpose/Hypothesis: This study explores the relationship between Turkish mechatronics engineering undergraduate students' domain-specific mindsets, LLMs and MMs, and their academic success. Design/Method: Student test scores for English medium and first-language medium courses were collected from fourth-year students studying mechatronics engineering (n = 68) at a public university in Turkey. Students also completed the LLM and MM inventories. Results: Regression analyses revealed that growth LLM and MM were positive predictors of EMI and Turkish medium of instruction (TMI) academic success, whereas fixed LLM and MM were negative predictors of EMI and TMI academic success. Conclusions: In both EMI and TMI courses, a growth mindset in math and language learning can profoundly predict students' academic achievement in a mechatronics engineering program. We argue that domain-specific mindsets can effectively explain the self-theories of intelligence and achievement.; Background: Mindsets are based on two basic assumptions: some people think that their intellectual abilities can be developed through hard work and instruction (i.e., a growth mindset), whereas others believe that nothing can change their level of intellectual ability (i.e., a fixed mindset). The association between mindsets and academic achievement has been examined in different academic subjects, such as biology and math. However, no previous study has examined the effects of language learning mindsets (LLMs) and math mindsets (MMs) on academic success in an English medium instruction (EMI) setting in which English, rather than the first language of the students, is used for teaching content (e.g., mechatronics engineering). Purpose/Hypothesis: This study explores the relationship between Turkish mechatronics engineering undergraduate students' domain-specific mindsets, LLMs and MMs, and their academic success. Design/Method: Student test scores for English medium and first-language medium courses were collected from fourth-year students studying mechatronics engineering (n = 68) at a public university in Turkey. Students also completed the LLM and MM inventories. Results: Regression analyses revealed that growth LLM and MM were positive predictors of EMI and Turkish medium of instruction (TMI) academic success, whereas fixed LLM and MM were negative predictors of EMI and TMI academic success. Conclusions: In both EMI and TMI courses, a growth mindset in math and language learning can profoundly predict students' academic achievement in a mechatronics engineering program. We argue that domain-specific mindsets can effectively explain the self-theories of intelligence and achievement. © 2023 Elsevier B.V., All rights reserved.";"academic achievement; engineering; English medium of instruction; higher education; language learning mindsets; math learning mindsets";"Curricula; Professional aspects; Regression analysis; Academic achievements; Engineering program; English medium of instruction; High educations; Intellectual ability; Language learning; Language learning mindset; Math learning mindset; Mechatronic engineering; Turkishs; Students";Journal of Engineering Education;Article;John Wiley and Sons Inc;10.1002/jee.20499;"1069-4730; 21689830; 10694730; 2168-9830";;;;;;;;112;1;;90;107;;DEC 2022;JAN 2023;2023;11;3;57;2023-01-15;10;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145284252&doi=10.1002%2Fjee.20499&partnerID=40&md5=66ee02e03571eef7b23e3b18e9cddab1;;Q1;Q1;True;True
