cluster_id,label,description,key_terms
0,AI in Language Education: Perceptions and Challenges,"This cluster explores the multifaceted perceptions, challenges, and dynamics of integrating AI in language education, including student attitudes, identity concerns, detection technologies, and the balance between human and AI agency. It highlights tensions such as fairness, trust, and environmental impact, alongside the role of collaboration and critical awareness in AI-mediated learning.","['AI perception', 'language education', 'identity threat', 'AI detection', 'fairness in assessment', 'human-AI balance', 'critical thinking', 'peer collaboration', 'trust in AI', 'environmental impact']"
1,GenAI in Language Education: Roles and Challenges,"This cluster explores the integration of generative AI in language education, highlighting the evolving roles of teachers, pedagogical disruptions, student adoption barriers, and interaction patterns. It also examines literacy frameworks, emotional responses, and the balance between human-centric learning and AI tools.","['GenAI literacy', 'teacher mediation', 'pedagogical frameworks', 'student engagement', 'prompt literacy', 'human-AI interaction', 'task design', 'emotional ambivalence', 'corpus tools', 'assessment consistency']"
2,AI Integration in Language Education Dynamics,"This cluster explores the evolving role of AI in language education, highlighting teacher-student collaboration, emotional and contextual factors, and the balance between technological innovation and traditional pedagogy. It underscores the necessity of human oversight and critical evaluation in leveraging AI as a complementary tool for transformative learning experiences.","['AI integration', 'human-AI collaboration', 'pedagogical transformation', 'digital literacy', 'learner autonomy', 'emotional dimension', 'scaffolding', 'teacher responsibility', 'contextual acceptability', 'sustainable learning']"
3,Pedagogical Dynamics in AI-Enhanced Language Learning,"This cluster explores the interplay between generative AI tools and language education, highlighting how pedagogical principles, learner agency, and technological affordances shape outcomes. It examines tensions between engagement, cognitive load, gamification, and traditional teaching methods, while emphasizing the role of teacher mediation and learner diversity.","['pedagogical principles', 'learner agency', 'cognitive load', 'gamification', 'teacher mediation', 'prompt engineering', 'emotional reassurance', 'posthuman learning', 'self-efficacy', 'institutional constraints']"
4,AI Feedback in Language Learning Dynamics,"This cluster examines the interplay between AI-generated feedback, learner prompting behaviors, and human (teacher/peer) feedback in language education. It highlights challenges such as prompt misalignment, feedback literacy gaps, and the complementary strengths of hybrid feedback systems to enhance learning outcomes.","['AI feedback', 'prompt engineering', 'feedback literacy', 'human-machine collaboration', 'hybrid feedback', 'learner perceptions', 'cognitive load', 'metalinguistic guidance', 'corrective feedback', 'theme detection']"
5,LLMs in Language Education: Challenges and Dynamics,"This cluster explores the complexities of integrating large language models (LLMs) into language education, highlighting challenges such as output instability, performance gaps across tasks, and the impact of training data quality. It also examines pedagogical trade-offs, learner engagement patterns, and the evolving role of LLMs in transforming language learning paradigms.","['LLM performance', 'language education', 'pedagogical feedback', 'training data', 'task variability', 'learner profiles', 'prompting strategies', 'model updates', 'cognitive transformation', 'assessment reliability']"
6,AI's Role in Language Learning Complexities,"This cluster explores the multifaceted impact of AI on language education, highlighting its strengths in syntactic support, lexical tools, and pedagogical customization, while also addressing challenges like cognitive load, structural rigidity, and the preservation of linguistic authenticity. It underscores the trade-offs, paradoxes, and evolving paradigms in AI-assisted language learning across diverse linguistic and cultural contexts.","['AI-assisted language learning', 'syntactic complexity', 'lexical diversity', 'cognitive load', 'multilingual models', 'linguistic correction', 'AI-generated text fingerprint', 'language equity', 'pedagogical chatbots', 'L2 voice preservation']"
7,ChatGPT's Dual Role in Language Learning,"This cluster explores the multifaceted impact of ChatGPT in language education, highlighting its benefits as a supportive tool for autonomy, metacognition, and skill development, while also addressing challenges like formal register bias, unreliability, and the need for user proficiency. It underscores the tool's role as both an enabler and a potential hindrance, shaped by user awareness and contextual application.","['ChatGPT', 'language education', 'metacognitive awareness', 'autonomy', 'double-edged tool', 'virtual MKO', 'task buddy', 'emotional support', 'skill discrepancy', 'pragmatic adoption']"
8,Factors Influencing AI Adoption in Language Education,"This cluster explores the multifaceted determinants of technology and AI adoption among language learners and educators, emphasizing the roles of motivation, emotional responses, cultural context, and perceived risks. It highlights how individual differences, institutional support, and interactional affordances shape acceptance and sustained use.","['technology acceptance', 'motivation', 'emotional dimensions', 'cultural context', 'perceived usefulness', 'perceived risk', 'social influence', 'digital competence', 'technostress', 'interactional affordances']"
9,AI in Writing Education: Challenges and Opportunities,"This cluster explores the role of generative AI in language education, highlighting its impact on writing instruction, assessment, and student engagement. It addresses challenges such as register replication disparities, metacognitive limitations, and the balance between human creativity and AI assistance, while also identifying opportunities for personalized learning and collaborative models.","['Generative AI', 'writing education', 'Automated Writing Evaluation', 'L2 learners', 'register replication', 'metacognitive awareness', 'human-AI collaboration', 'authorial voice', 'personalized feedback', 'brainstorming']"
