text,cluster_id,theme
Advocates for the strategic employment of AI in language teaching to create innovative and responsive educational experiences.,6,Future Directions for AI in Education
Calls for a balanced and ethical integration of AI in educational settings to complement pedagogical goals.,3,Pedagogical and Assessment Reform for AI
Recommends comprehensive teacher training programs that cover both the technical and ethical aspects of using AI tools.,3,Pedagogical and Assessment Reform for AI
Suggests that teacher training should be redesigned to include AI literacy development to empower educators.,3,Pedagogical and Assessment Reform for AI
"Advocates for a gradual, context-sensitive integration of CALL tools rather than immediate large-scale policy changes.",7,Pedagogical and Assessment Reform for AI
Recommends localized pilot programs to assess technological readiness and learner preparedness.,7,Pedagogical and Assessment Reform for AI
"Policymakers should prioritize providing adequate infrastructure, teacher training, and learner support to ensure equitable implementation.",7,Pedagogical and Assessment Reform for AI
Universities should establish explicit boundaries for GAI use in academic research.,5,Ethical AI Integration in Language Education
Students must provide a GAI usage statement in their papers if GAI was used for assistance.,1,Pedagogical and Assessment Reform for AI
"GAI can be used for auxiliary tasks like literature summarizing and language optimization, but not for directly copying viewpoints or content.",1,Pedagogical and Assessment Reform for AI
"Academic creation should be accomplished by humans, and GAI should not replace human thought.",5,Ethical AI Integration in Language Education
Instructors should explicitly train students to formulate prompts grounded in critical thinking frameworks like Paul and Elder's.,7,Pedagogical and Assessment Reform for AI
"Pedagogical approaches should position ChatGPT as a collaborative cognitive tool rather than an authoritative source, requiring students to justify their use of AI suggestions.",2,Pedagogical and Assessment Reform for AI
Instructors should establish clear guidelines for the ethical and responsible use of AI tools and enhance students' awareness of potential misuse.,5,Ethical AI Integration in Language Education
"Students should be guided to develop regulation skills to critically assess AI-generated content, using features like the 'notes column' in the provided worksheets to verify information.",9,Hybrid AI-Human Feedback in Education
Teachers can use ChatGPT as a catalyst to generate actionable solutions for diverse instructional and assessment needs.,8,Ethical AI Integration in Language Education
Syllabus designers and teachers can rely on ChatGPT to adapt curricula in a flexible manner that simultaneously fulfills students' educational and psycho-emotional needs.,8,Ethical AI Integration in Language Education
"Educational stakeholders should consider interdisciplinary approaches, integrating fields like artificial intelligence and positive psychology, to develop an emotionally supportive pedagogy.",3,Pedagogical and Assessment Reform for AI
The study advocates for the structured and controlled integration of AI tools like ChatGPT to cultivate positive psycho-emotional factors in learners.,2,Pedagogical and Assessment Reform for AI
"There is a need for clear, explicit guidelines regarding the use of GenAI tools in assessments within ILTE programmes and universities.",1,Pedagogical and Assessment Reform for AI
ILTE institutions should make the development of teacher educators' AI competence a strategic priority.,3,Pedagogical and Assessment Reform for AI
Professional development for teacher educators should be developed to cover technical and pedagogical aspects of integrating AI into teaching.,3,Pedagogical and Assessment Reform for AI
Educators should integrate students' self-made chatbots into language classrooms to provide personalized support.,2,Pedagogical and Assessment Reform for AI
"It is important to improve students' AI literacy, focusing on the critical and ethical use of AI.",3,Pedagogical and Assessment Reform for AI
"Educators should teach students how to critically evaluate information from chatbots and promote ethical considerations like privacy, bias, and fairness.",2,Pedagogical and Assessment Reform for AI
Initial Language Teacher Education (ILTE) programmes must be continuously revised and reformed to address the knowledge and skills needed to be an effective teacher in the GenAI age.,6,Future Directions for AI in Education
Elements of Professional GenAI Competence (P-GenAI-C) should be incorporated into teacher preparation courses and programmes.,1,Pedagogical and Assessment Reform for AI
ILTE needs to be adaptive and flexible in response to rapid technological advancements to remain relevant.,7,Pedagogical and Assessment Reform for AI
Advocates for a hybrid 'AI + Teacher' model of instruction that synergizes AI's analytical capabilities with the pedagogical expertise of educators.,3,Pedagogical and Assessment Reform for AI
"Suggests that instead of eliminating AI, educators should make full use of it while maintaining their agency.",3,Pedagogical and Assessment Reform for AI
Incorporate ethical guidelines and training on AI tool usage into EFL curricula to enhance learner competence and address uncertainty.,3,Pedagogical and Assessment Reform for AI
"Develop ongoing, scaffolded training programs that teach technical proficiency and foster critical engagement with AI tools.",3,Pedagogical and Assessment Reform for AI
There is a pressing need for assessment methods that promote meaningful and ethical language learning outcomes in the age of AI.,6,Future Directions for AI in Education
"Developers should prioritize increasing interactivity, refining human-like interaction, and implementing adaptive difficulty settings.",9,Hybrid AI-Human Feedback in Education
Developers should create user-friendly interfaces and establish robust data privacy measures to boost self-efficacy and trust.,5,Ethical AI Integration in Language Education
"Educators should introduce AI tools in a way that addresses learner concerns, endorse their use, and integrate them into teaching.",3,Pedagogical and Assessment Reform for AI
"Educators should design lessons that require learners to critically evaluate AI-generated content, fostering active learning.",3,Pedagogical and Assessment Reform for AI
"Learners should view ChatGPT as a versatile resource for multiple dimensions of language learning, including writing, reading, and vocabulary.",8,Ethical AI Integration in Language Education
Teachers should explicitly instruct learners on the strengths and limitations of using GPT for WCF.,8,Ethical AI Integration in Language Education
Teachers should use GPT's feedback as a teachable moment to promote students' self-regulated learning and critical evaluation skills when using AI tools.,9,Hybrid AI-Human Feedback in Education
"Language educators should consider integrating GenAI technologies, especially those with human-like avatars, to create more engaging and supportive learning environments.",1,Pedagogical and Assessment Reform for AI
Teachers should use visually embodied chatbots when designing classroom activities or recommending tools for extracurricular practice to enhance students' psychological well-being and oral proficiency.,2,Pedagogical and Assessment Reform for AI
"It is crucial for teachers to critically evaluate and select GenAI tools, combining technology with pedagogy to meet students' individual needs effectively.",1,Pedagogical and Assessment Reform for AI
Teachers are encouraged to use features like 'Suggest replies' in chatbot platforms to support learners with lower proficiency.,2,Pedagogical and Assessment Reform for AI
"Instructors should use prompts to control chatbot characteristics, such as limiting the length of utterances to avoid verbosity.",2,Pedagogical and Assessment Reform for AI
Prompts can be designed to make the chatbot's persona feel more humanlike and less repetitive.,2,Pedagogical and Assessment Reform for AI
Practitioners should consider implementing ChatGPT-based logic learning over multiple sessions to allow learners to gradually master more cognitively demanding strategies.,8,Ethical AI Integration in Language Education
It is recommended to leverage ChatGPT's capability for personalization to enhance learning outcomes.,8,Ethical AI Integration in Language Education
Researchers and practitioners should conduct pilot studies to refine chatbot-based learning tools and procedures before full implementation.,2,Pedagogical and Assessment Reform for AI
"For noticeable changes in writing quality, ChatGPT-based learning should be implemented for a duration exceeding two sessions.",8,Ethical AI Integration in Language Education
"Policymakers should collaborate with teachers, researchers, and technology experts to create policies that promote student exposure to diverse English varieties.",6,Future Directions for AI in Education
Policies should encourage experimentation and innovation in teaching.,7,Pedagogical and Assessment Reform for AI
Institutions need to provide backing for teachers to test and refine AI-enhanced or GE-oriented teaching methods without fear of criticism.,3,Pedagogical and Assessment Reform for AI
There is a need to develop critical AI literacy among learners and translators.,6,Future Directions for AI in Education
"Users should be trained not just in operating AI tools but also in understanding their capabilities and limitations, interpreting outputs, and navigating autonomy and privacy issues.",5,Ethical AI Integration in Language Education
There is a need for further refinement of AI models through L2-specific training to better align their judgments with human standards.,9,Hybrid AI-Human Feedback in Education
"In high-stakes assessment contexts, such as placement decisions, AI's role should be complementary to, not a replacement for, human judgment.",9,Hybrid AI-Human Feedback in Education
Course lecturers and instructors should highlight that GenAI outputs are secondary sources and direct use constitutes plagiarism.,1,Pedagogical and Assessment Reform for AI
"PST educators should assess student work based on original contributions, critical thinking, and innovative ideas, rather than just the final product which may be AI-assisted.",9,Hybrid AI-Human Feedback in Education
Policymakers in teacher education should include critical GenAI literacies as a key pedagogical goal.,1,Pedagogical and Assessment Reform for AI
Stakeholders should encourage action research on developing PSTs' critical awareness and ethical use of GenAI.,1,Pedagogical and Assessment Reform for AI
Educators should highlight the importance of including adequate context in prompts.,7,Pedagogical and Assessment Reform for AI
"Learners must be taught how to manage ChatGPT's responses effectively by specifying parameters like length, tone, and style.",8,Ethical AI Integration in Language Education
"Students should be instructed to focus on writing grammatically accurate prompts, potentially using AI for proofreading the prompts themselves.",0,Ethical AI Integration in Language Education
It is advisable to encourage students to write prompts in English or a combination of English and their native language for higher satisfaction.,0,Ethical AI Integration in Language Education
It is crucial to educate students about the differences between human and AI communication to foster realistic expectations and more effective interaction.,3,Pedagogical and Assessment Reform for AI
"Educational institutions should develop policies for teacher training, resource allocation, and guidelines against AI over-reliance.",3,Pedagogical and Assessment Reform for AI
"Countries can develop comprehensive AI frameworks to guide the use of AI in education, aligning with international standards like UNESCO's AI Competency Frameworks.",3,Pedagogical and Assessment Reform for AI
Integrate AI literacy into language curricula to equip students with skills for critical and ethical engagement with AI tools.,3,Pedagogical and Assessment Reform for AI
"Develop clear institutional policies to guide the responsible use of AI in educational contexts, addressing academic integrity and data privacy.",5,Ethical AI Integration in Language Education
"Educators should scaffold AI use, teaching students how to prompt effectively, evaluate outputs critically, and apply feedback selectively.",3,Pedagogical and Assessment Reform for AI
Adopt hybrid feedback models that combine the efficiency of AI with the contextual sensitivity and pedagogical expertise of human instructors.,9,Hybrid AI-Human Feedback in Education
Encourage integrating chatbots into L2 writing instruction to provide learners with opportunities for leadership and agency.,2,Pedagogical and Assessment Reform for AI
Recommend a blended approach that combines student-chatbot collaboration with student-student interaction to leverage both AI's cognitive support and peers' social engagement.,2,Pedagogical and Assessment Reform for AI
Teachers should explicitly teach students how to request structural support from chatbots and equip them with solid genre knowledge.,2,Pedagogical and Assessment Reform for AI
Clearer ethical guidelines and instructions must be embedded into the curriculum to ensure responsible chatbot use and caution against over-reliance.,2,Pedagogical and Assessment Reform for AI
Assessment policies should provide students with the agency to choose whether to use AI tools without fear of negative judgment.,3,Pedagogical and Assessment Reform for AI
"Policies should favor transparency and accountability (e.g., allowing full AI use with declaration) over prohibition.",5,Ethical AI Integration in Language Education
Bans on GenAI are perceived as unfair and are difficult to enforce due to the unreliability of detection tools.,1,Pedagogical and Assessment Reform for AI
Institutions and instructors should provide more training and guidance on the critical and ethical use of GenAI in academic writing.,1,Pedagogical and Assessment Reform for AI
"Practitioners are cautioned against adopting AI-based automated scoring as a straightforward, ready-to-use classroom solution without sufficient training and consideration of the complexities of the underlying models.",9,Hybrid AI-Human Feedback in Education
"A prudent path forward is to use AES as a complementary tool, coupling its strengths (speed, consistency) with human expertise (judgment, cultural insight, ethical oversight).",5,Ethical AI Integration in Language Education
A national-level certification and standardization system for AI-based learning tools is essential to ensure reliability and safety.,9,Hybrid AI-Human Feedback in Education
Official curricula should include AI ethics education and the development of critical AI literacy to prevent over-reliance and promote independent learning.,3,Pedagogical and Assessment Reform for AI
"Establishment of community-based AI learning hubs in schools, libraries, and youth centers to offer access, structured programs, and expert guidance.",3,Pedagogical and Assessment Reform for AI
Expand accessibility to reduce educational gaps by providing free AI tools or device lending programs for low-income students.,3,Pedagogical and Assessment Reform for AI
Develop specialized Gen-AI functions for learners with language disabilities.,6,Future Directions for AI in Education
Language policy-makers are recommended to focus policies on cultivating teachers' GenAI literacy.,1,Pedagogical and Assessment Reform for AI
Policies should support the building of AI-enabled institutions.,5,Ethical AI Integration in Language Education
GenAI-related courses and curricula should be specified for EFL teachers.,1,Pedagogical and Assessment Reform for AI
Governments should be asked to provide sufficient GenAI infrastructures to promote technological competencies.,1,Pedagogical and Assessment Reform for AI
The PA-SDA scale can be used to inform policy decisions regarding resource allocation and training initiatives for AI-integrated education.,3,Pedagogical and Assessment Reform for AI
Educators are guided to use the scale to create scaffolded learning experiences that help learners progressively develop more sophisticated AI interaction strategies.,3,Pedagogical and Assessment Reform for AI
Design pedagogies of critical AI literacies to promote equitable and agentic AI-supported language learning.,6,Future Directions for AI in Education
Develop clear guidelines for ethical AI tool access while helping students evaluate domestic alternatives.,5,Ethical AI Integration in Language Education
Establish support systems to guide students in utilizing available AI resources within specific digital ecosystems and regulatory frameworks.,3,Pedagogical and Assessment Reform for AI
It is essential to educate both language teachers and students on the effective use of ChatGPT and other AI tools to support language learning and foster AI literacy.,2,Pedagogical and Assessment Reform for AI
Using ChatGPT as a complementary feedback source requires clear and purposeful prompts to generate relevant responses.,8,Ethical AI Integration in Language Education
