text,cluster_id,theme
Potential for overdependence on AI by teachers and students.,3,Risks of Overreliance on GenAI
"Participants faced technical barriers, including poor internet connectivity and complex user interfaces in some CALL tools.",7,GenAI Linguistic and Pedagogical Limitations
"Gamified platforms like Kahoot!, while engaging, were perceived as less effective for long-term knowledge retention.",9,Minimal Impact of GenAI on Learning Outcomes
"AI-driven tools like ChatGPT produced inaccuracies and unnatural sentences, requiring learners to verify information.",5,GenAI Linguistic and Pedagogical Limitations
A notable portion of learners initially struggled with the self-regulation required to use CALL tools effectively.,1,GenAI Linguistic and Pedagogical Limitations
Induced feelings of uneasiness and a lack of control over the technology.,2,Risks of Overreliance on GenAI
Caused a 'Low Sense of Security' due to unclear academic norms and data security concerns.,4,Risks of Overreliance on GenAI
"GAI performance was sometimes worse for more professional and in-depth questions in linguistics, a 'weak with the strong' phenomenon.",0,
The increase in students' hedonic motivation and habit of using ChatGPT was only marginal compared to other acceptance constructs.,5,GenAI Linguistic and Pedagogical Limitations
"Some students (36%) found the structured, multi-prompt process to be 'a bit boring' and requiring 'more patience'.",1,GenAI Linguistic and Pedagogical Limitations
N/A,6,Uncategorized Research Gaps
"GenAI outputs can contain bias, false information, and raise copyright issues.",4,Risks of Overreliance on GenAI
"Risk of students becoming over-reliant on AI tools, potentially hindering their own thinking and learning processes.",3,Risks of Overreliance on GenAI
"Difficulty for educators in distinguishing between human-generated and AI-generated work, posing challenges for assessment integrity.",3,Risks of Overreliance on GenAI
N/A,6,Uncategorized Research Gaps
There was less evidence of development in teachers' capacity to guide their students to use GenAI tools effectively and responsibly.,9,Minimal Impact of GenAI on Learning Outcomes
The lack of development in preparing students for a GenAI world was attributed to a lack of such content in the course intervention.,1,GenAI Linguistic and Pedagogical Limitations
N/A,6,Uncategorized Research Gaps
AI tools cannot replace the role of instructors for providing guidance and training.,3,Risks of Overreliance on GenAI
The value of collaborative learning with peers is not replaced by AI tools.,3,Risks of Overreliance on GenAI
Students demonstrated a clear preference for human feedback (from teachers and peers) over AI-generated suggestions.,3,Risks of Overreliance on GenAI
Suggested vocabulary can be too complex and unhelpful for lower-proficiency learners.,0,
Does not significantly enhance listening and speaking skills due to its text-based nature.,9,Minimal Impact of GenAI on Learning Outcomes
May not provide new knowledge for advanced learners on minor grammatical errors they already understand.,0,
"Less effective for learners with visual, auditory, or kinesthetic learning styles due to a lack of multimedia and real human interaction.",9,Minimal Impact of GenAI on Learning Outcomes
"GPT's feedback is highly inconsistent and variable, producing different responses to the same text and prompt in different sessions.",7,GenAI Linguistic and Pedagogical Limitations
"GPT frequently provides redundant feedback or over-corrects texts, changing grammatically correct sentences.",0,
"GPT's feedback tends to be generic, superficial, and heavily dependent on surface-level features like cohesive devices.",7,GenAI Linguistic and Pedagogical Limitations
"Teachers' feedback, while more consistent in approach, can contain a degree of inaccuracy.",1,GenAI Linguistic and Pedagogical Limitations
The interventions did not lead to a statistically significant improvement in students' speaking performance scores compared to the control group.,9,Minimal Impact of GenAI on Learning Outcomes
Text- and voice-only chatbots without a visual avatar were perceived as 'relatively dull' by students.,5,GenAI Linguistic and Pedagogical Limitations
"An avatar in an assessment context (EAP Talk) was perceived by some students as a 'real examiner', which induced anxiety.",9,Minimal Impact of GenAI on Learning Outcomes
"Some participants still perceived unnaturalness, comprehension failures, and contextually inappropriate responses from the chatbots.",5,GenAI Linguistic and Pedagogical Limitations
"The interactions lacked non-verbal cues such as accents, facial expressions, and pauses that are present in human conversation.",9,Minimal Impact of GenAI on Learning Outcomes
"The chatbot's language was sometimes perceived as too formal, using complete sentences where a human might not.",5,GenAI Linguistic and Pedagogical Limitations
A single instance of communication breakdown occurred due to a misspelled word.,0,
"For in-depth, exploratory questions, the chatbot sometimes provided general, superficial, or obscure responses, which demotivated students from applying more complex strategies like Analysing and Crafting.",5,GenAI Linguistic and Pedagogical Limitations
"The learning materials generated by the chatbot, such as exercises and examples, were perceived as 'over-easy' and 'superficial', limiting the development of a deeper understanding.",5,GenAI Linguistic and Pedagogical Limitations
Rigid structure of local curricula and demanding schedules limited the integration of GenAI and GELT.,1,GenAI Linguistic and Pedagogical Limitations
"AI demonstrated inaccurate representation of terms from newer English varieties, lacking nuanced cultural and linguistic context.",0,
Technical glitches and geographical restrictions on AI tools disrupted classroom flow and functionality.,3,Risks of Overreliance on GenAI
"AI cannot replace the 'human touch' of teachers, such as personal insight, cultural depth, and empathy, which are essential for teaching linguistic diversity.",0,
The effect on syntactic complexity was inconsistent; GPT editing reduced the use of subordination and verbal structures.,0,
GPT editing may not adequately address the issue of syntactic simplification common in learner translations.,0,
"GPT tends to favor certain sentence patterns, potentially leading to a predictable and formulaic 'AI translationese'.",0,
"The original version of ChatGPT was significantly stricter than human raters, particularly on language-focused criteria like text engagement and language use.",5,GenAI Linguistic and Pedagogical Limitations
"ChatGPT lacks contextual flexibility, leading it to misjudge legitimate paraphrasing attempts and over-rely on surface-level cues like word overlap.",5,GenAI Linguistic and Pedagogical Limitations
"The AI applies a stringent assessment of close paraphrasing and patchwriting, often failing to accommodate the developmental proficiency levels of L2 learners.",0,
"ChatGPT's lack of sensitivity to context can lead to erroneous judgments, such as flagging acceptable use of topic-specific keywords as copying.",5,GenAI Linguistic and Pedagogical Limitations
"Over-reliance on GenAI for pedagogical, grammatical, and content-related tasks.",0,
Lack of critical examination and appropriate adaptation of GenAI-generated outputs.,1,GenAI Linguistic and Pedagogical Limitations
"Ethical concerns regarding academic honesty, plagiarism, and originality.",4,Risks of Overreliance on GenAI
"Negative emotions, including anxiety about job replacement and feelings of incompetence.",2,Risks of Overreliance on GenAI
"Concerns about the accuracy, appropriateness, and quality of GenAI-generated content.",0,
"Learners demonstrated low engagement, using short, infrequent prompts with minimal strategic variation.",9,Minimal Impact of GenAI on Learning Outcomes
"Low-satisfaction prompts were associated with fragmented, isolated strategies and frequent repetition.",1,GenAI Linguistic and Pedagogical Limitations
"Six content-related problems in prompts were identified that hindered response quality: lack of context, unclear feedback, dual requests, grammatical errors, use of abstract vocabulary, and excessive constraints.",1,GenAI Linguistic and Pedagogical Limitations
"Potential for learners to become over-reliant on AI tools, which could undermine the development of autonomy and critical thinking.",3,Risks of Overreliance on GenAI
"Students perceived AI feedback as impersonal, overly technical, and lacking the contextual sensitivity of human instructors.",3,Risks of Overreliance on GenAI
"The AI tool lacked longitudinal awareness, treating each draft independently without acknowledging student progress across revisions.",1,GenAI Linguistic and Pedagogical Limitations
"ChatGPT-4 exhibited score compression, tending to assign scores in the mid-to-high range and avoiding extreme values, particularly for high-performing work.",5,GenAI Linguistic and Pedagogical Limitations
"The tool's output could be difficult to navigate for some learners, highlighting the need to align feedback complexity with proficiency levels.",1,GenAI Linguistic and Pedagogical Limitations
"Cognitive overload: Students struggled to process the large volume of information from ChatGPT, which could disrupt their writing flow.",5,GenAI Linguistic and Pedagogical Limitations
"Lack of emotional connection: Compared to human peers, ChatGPT cannot provide emotional support or motivation.",5,GenAI Linguistic and Pedagogical Limitations
"Formulaic responses: Some students found the chatbot's responses to be repetitive or impersonal, making interaction feel 'boring'.",5,GenAI Linguistic and Pedagogical Limitations
"Over-reliance: Students tended to integrate AI-generated language without full consideration of context, reflecting a lack of confidence in their own abilities.",3,Risks of Overreliance on GenAI
"Risk of over-reliance, leading to cognitive laziness or 'inertia'.",2,Risks of Overreliance on GenAI
Generates inaccurate information and fabricated references ('model hallucination').,4,Risks of Overreliance on GenAI
Can disempower students if they cede too much control over the writing process.,2,Risks of Overreliance on GenAI
The AI model struggled to assess the formal characteristics (format criterion) of the essays compared to human raters.,0,
"The AI tended to over-penalize certain morphological and lexical errors common to non-native Turkish writers, treating deviations more strictly than human raters.",0,
"The AI assigned a score of 0 to texts unaligned with the task, whereas human raters were more likely to assign non-zero scores for partially aligned performances.",0,
Gen-AI feedback was perceived as overly mechanical and lacking in emotional support.,3,Risks of Overreliance on GenAI
Concerns about excessive AI dependence hindering critical thinking and problem-solving abilities.,3,Risks of Overreliance on GenAI
"Gen-AI is unable to replicate subtle and emotional aspects of human interaction, like non-verbal cues.",3,Risks of Overreliance on GenAI
Concerns were raised about the reliability and potential bias of AI-provided answers.,3,Risks of Overreliance on GenAI
N/A,6,Uncategorized Research Gaps
N/A,6,Uncategorized Research Gaps
AI can produce culturally vacuous content reinforcing Western hegemony.,3,Risks of Overreliance on GenAI
AI lacks genuine linguistic comprehension and reconstructs patterns from data.,0,
AI can give confident-sounding but wrong answers.,3,Risks of Overreliance on GenAI
Free versions of AI tools are designed to push users toward premium subscriptions.,3,Risks of Overreliance on GenAI
"AI-generated content can have biases (e.g., toward American English) due to training data.",0,
"Human teacher feedback was less effective than ChatGPT's, showing a lack of significant gains in cohesion/coherence and lexical resource.",5,GenAI Linguistic and Pedagogical Limitations
"Effort expectancy (perceived ease of use) was found to have no significant impact on students' behavioral intention to use AI translation tools, suggesting it is not a key driver of adoption in this specific learning context.",3,Risks of Overreliance on GenAI
"Unrestricted, autonomous use of ChatGPT may not be sufficient to enhance content development, possibly due to a greater reliance on AI-generated content and less deep engagement from students.",5,GenAI Linguistic and Pedagogical Limitations
GenAI-generated outputs may exhibit biases or contain fictitious references.,0,
GenAI may increase students' cognitive load for information processing.,9,Minimal Impact of GenAI on Learning Outcomes
Interaction with GenAI can result in negative emotions such as fear and anxiety.,9,Minimal Impact of GenAI on Learning Outcomes
"GenAI systems may lack creativity, originality, and the ability to produce novel outputs.",7,GenAI Linguistic and Pedagogical Limitations
"GenAI use generated new contradictions, such as the conflict between academic integrity rules and the need to use AI (rule vs. subject), and the extra workload of validating AI responses (division of labor vs. subject).",3,Risks of Overreliance on GenAI
The need to validate the authenticity and relevance of AI-generated answers was time-consuming and distracting.,3,Risks of Overreliance on GenAI
"Use of GenAI led to emotional disengagement, such as disappointment with superficial responses and anxiety about academic dishonesty.",9,Minimal Impact of GenAI on Learning Outcomes
"Use of GenAI led to behavioral disengagement, such as being distracted from the primary writing task.",9,Minimal Impact of GenAI on Learning Outcomes
Use of GenAI could lead to cognitive overload when responses contained complex new information that was difficult to digest and apply.,9,Minimal Impact of GenAI on Learning Outcomes
Potential to weaken cognitive capacities and learning effects due to over-reliance.,2,Risks of Overreliance on GenAI
"Risks include information fabrication, plagiarism, and information leakage.",4,Risks of Overreliance on GenAI
"Perceived as less effective for tasks requiring deep creative and critical thinking, often producing formulaic and templated content.",2,Risks of Overreliance on GenAI
"Can be difficult to use effectively for high-quality academic writing, requiring significant user investment in time, energy, and cognitive resources.",0,
"Students demonstrated superficial behavioral engagement, often substituting sentences directly from ChatGPT without critical thought, indicating overreliance.",5,GenAI Linguistic and Pedagogical Limitations
"Cognitive engagement was limited, especially with content and organization feedback, due to low language proficiency and difficulty interpreting suggestions.",1,GenAI Linguistic and Pedagogical Limitations
"Feedback was sometimes inaccurate, contradictory, too lengthy, or above the students' proficiency level, leading to confusion, frustration, and increased cognitive load.",1,GenAI Linguistic and Pedagogical Limitations
Overlap between feedback on content and organization confused students and reduced their willingness to revise.,1,GenAI Linguistic and Pedagogical Limitations
"The tool often produced content that lacked emotional depth and warmth, making it difficult for readers to connect with.",7,GenAI Linguistic and Pedagogical Limitations
Some students found the language generated by ChatGPT to be too complex to understand without additional resources.,5,GenAI Linguistic and Pedagogical Limitations
Students felt ChatGPT was less effective in generating original ideas or restructuring content for tasks like literature reviews.,5,GenAI Linguistic and Pedagogical Limitations
No statistically significant differences were observed in the organization or language quality of the outlines between the collaborative and individual modes.,9,Minimal Impact of GenAI on Learning Outcomes
"There were no statistically significant differences in overall task motivation, task enjoyment, reported effort, or perceived relevance between the two conditions.",9,Minimal Impact of GenAI on Learning Outcomes
A significant gap exists between instructors' high intention to use GenAI and their moderate level of actual classroom use.,9,Minimal Impact of GenAI on Learning Outcomes
"Perceived trust and institutional support did not directly predict actual classroom use, suggesting a disconnect between enabling conditions and practice.",9,Minimal Impact of GenAI on Learning Outcomes
"Transmissive pedagogical beliefs, which are prevalent in some contexts (e.g., Egypt, Saudi Arabia), are not positively associated with perceiving GenAI as useful or easy to use.",9,Minimal Impact of GenAI on Learning Outcomes
Texts initially generated by ChatGPT sometimes lacked relevant examples to support claims.,5,GenAI Linguistic and Pedagogical Limitations
Bing Chat's answers were sometimes too brief for the requirements of a traditional essay.,5,GenAI Linguistic and Pedagogical Limitations
"AI-generated images from Bing Image Creator were sometimes unnatural, unrealistic (e.g., distorted fingers), or did not align with students' prior domain knowledge.",3,Risks of Overreliance on GenAI
ChatGPT can produce inaccurate references (hallucinations).,5,GenAI Linguistic and Pedagogical Limitations
"Some participants found the chatbot's vocabulary too advanced and its sentences too lengthy, posing comprehension difficulties.",5,GenAI Linguistic and Pedagogical Limitations
"In the paired group, disagreements over interests and non-cooperative behaviors occurred.",9,Minimal Impact of GenAI on Learning Outcomes
Frequent use of L1 (Chinese) during peer discussions in the paired group limited English speaking practice.,9,Minimal Impact of GenAI on Learning Outcomes
"On average, there was no significant main effect of LLM-generated feedback on students' SAA.",9,Minimal Impact of GenAI on Learning Outcomes
"For students who were already highly accurate, the feedback did not provide a benefit and may have even decreased their SAA.",1,GenAI Linguistic and Pedagogical Limitations
"The purely formative feedback, lacking a holistic score, might have caused highly accurate students to focus on minor flaws and underestimate their overall performance.",1,GenAI Linguistic and Pedagogical Limitations
The direct effect of automated feedback on transfer task performance was not significant.,9,Minimal Impact of GenAI on Learning Outcomes
Measures of cognitive engagement (writing pauses) did not significantly mediate the effect of feedback on either revision or transfer performance.,9,Minimal Impact of GenAI on Learning Outcomes
N/A,6,Uncategorized Research Gaps
"The AI's feedback was perceived as superficial, lacking depth, and insufficient for complex grammatical or emotional nuances.",3,Risks of Overreliance on GenAI
"AI interactions were described as mechanical and lacking emotional resonance, which could diminish long-term motivation.",3,Risks of Overreliance on GenAI
"In paired learning settings, some students experienced social pressure and anxiety about making errors in front of a peer.",9,Minimal Impact of GenAI on Learning Outcomes
"The chatbot (Reade) sometimes provided delayed, unhelpful, or irrelevant responses.",5,GenAI Linguistic and Pedagogical Limitations
Students initially experienced confusion with the platform's layout and functionality.,1,GenAI Linguistic and Pedagogical Limitations
The initial self-assessment grid for reading proficiency was perceived as not detailed enough.,1,GenAI Linguistic and Pedagogical Limitations
Students with limited prompting skills struggled to receive helpful responses from the chatbot.,5,GenAI Linguistic and Pedagogical Limitations
"The novelty effect of using new AI tools might have contributed to short-term motivation, potentially inflating the results.",3,Risks of Overreliance on GenAI
"There is a potential for overreliance on AI, which could undermine learners' autonomy and critical thinking if not managed pedagogically.",3,Risks of Overreliance on GenAI
