text,cluster_id,theme
"Synergy of AI and pedagogy: AI tools are most effective when creatively combined with sound pedagogical practices, such as transforming educational songs into karaoke activities.",2,AI Integration Challenges and Perceptions
"Teacher creativity and innovation: Access to AI tools can inspire teachers to innovate and move beyond traditional, test-centric teaching models.",2,AI Integration Challenges and Perceptions
"Paradigm shift in language education: AI facilitates a shift towards more personalized, communicative, and student-centered learning environments.",2,AI Integration Challenges and Perceptions
Social justice in AI integration: The paper raises the importance of ensuring equitable access to AI technologies and inclusive teacher training.,2,AI Integration Challenges and Perceptions
Tool preference hierarchy: Learners ranked tools based on perceived effectiveness for long-term retention (Anki) versus engagement (Kahoot!).,3,Pedagogical Dynamics in AI-Enhanced Learning
Autonomy-engagement link: A strong connection was found where customization and control over learning materials directly increased student motivation and engagement.,3,Pedagogical Dynamics in AI-Enhanced Learning
Gamification trade-offs: A conflict was identified between the high immediate engagement from gamified tools and their lower effectiveness for durable learning.,3,Pedagogical Dynamics in AI-Enhanced Learning
"Barriers to adoption: Technical issues (connectivity, interface complexity) and a desire for hybrid learning models with human teacher guidance were significant barriers.",8,Adoption Factors of AI in Education
"A four-type classification of GAI users: Collaborative Innovative Users, Technology-Oriented Users, Professionally Guided Users, and Novice Exploratory Users.",8,Adoption Factors of AI in Education
Effort Expectancy as the most significant factor influencing graduate students' attitudes towards GAI-assisted writing.,9,Pedagogical Dynamics in AI-Enhanced Learning
"A contradictory psychology among students, who feel both empowered by GAI's efficiency and uneasy due to a lack of full control and clear ethical guidelines.",1,AI Integration Challenges and Perceptions
ChatGPT as a cognitive partner: The study reframes ChatGPT from an information browser to an intellectual partner that facilitates self-regulated learning and co-regulation.,7,AI Feedback and Learner Interaction
Logic enhancement: A significant portion of students (84%) felt that interacting with AI helped them be more logical in their writing.,9,Pedagogical Dynamics in AI-Enhanced Learning
Model discourse provision: Students valued ChatGPT's ability to provide model discourse that demonstrated how CT elements are embedded in writing (68% of interviewees).,7,AI Feedback and Learner Interaction
Superiority over peer feedback: Many students (64%) found AI-generated feedback to be more effective and informative than feedback from their real peers.,4,AI Feedback and Learner Interaction
"The role of a structured, staged AI-based protocol (CGRBP) as a mediator for enhancing psycho-emotional factors like grit.",0,AI Integration Challenges and Perceptions
ChatGPT as a 'stress-coping assistant' capable of providing practical solutions for overcoming learning hardships.,7,AI Feedback and Learner Interaction
The potential for AI-facilitated instruction to bridge the gap between theory and practice in positive psychology within L2 education.,2,AI Integration Challenges and Perceptions
The need to redefine the fundamental value of learning a language and the role of language teachers in the age of GenAI.,1,AI Integration Challenges and Perceptions
The necessity of integrating critical AI literacy into the core of the ILTE curriculum.,2,AI Integration Challenges and Perceptions
"A shift in assessment paradigms from product-focused to process-focused, experiential, and contextual-based assessments.",3,Pedagogical Dynamics in AI-Enhanced Learning
The professional competence and needs of teacher educators as a critical factor in the successful integration of GenAI.,1,AI Integration Challenges and Perceptions
The dual role of teacher educators in modeling both 'proper' and 'improper' uses of GenAI to foster critical discussion.,1,AI Integration Challenges and Perceptions
Student agency in tool creation: Students transitioned from being passive users to active creators of their own learning tools.,3,Pedagogical Dynamics in AI-Enhanced Learning
"Strategic use of RAG for personalization: Students curated specific knowledge bases (e.g., GRE rubrics, course materials) to tailor chatbot responses to their contextual needs.",7,AI Feedback and Learner Interaction
"Process-oriented writing support: Students designed chatbots to assist with distinct stages of the writing process, from preparation to reflection.",9,Pedagogical Dynamics in AI-Enhanced Learning
Development of prompt engineering skills as a new competence.,3,Pedagogical Dynamics in AI-Enhanced Learning
