source_filename,prompt_index,prompt,title,authors,char_len,lang,token_count,sentence_count,prompt_en,has_role,has_constraints,has_example,has_cot,has_any_structure,imperative_like,interrogative_like
1-s2.0-S0191491X25000379-main.pdf,0,"As an undergraduate student (X), I want to write an argumentative essay (PURPOSE) Discuss (the) ""whether traveling to or working in a foreign country is the only reason to learn a foreign language"" (MAJOR QUESTION) and ""Is there any other reason someone should learn a foreign language"" (OTHER QUESTION) Please provide several possible VIEWPOINTS around the "" reasons for learning a foreign language"" (MAIN CONCEPTS"")",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",417,en,84,3,"As an undergraduate student (X), I want to write an argumentative essay (PURPOSE) Discuss (the) ""whether traveling to or working in a foreign country is the only reason to learn a foreign language"" (MAJOR QUESTION) and ""Is there any other reason someone should learn a foreign language"" (OTHER QUESTION) Please provide several possible VIEWPOINTS around the "" reasons for learning a foreign language"" (MAIN CONCEPTS"")",True,False,False,False,True,False,False
1-s2.0-S0191491X25000379-main.pdf,1,"What are ""Practical Necessity"", ""Cultural Enrichment"", and ""Educational and Cognitive Benefits"" (TARGET VIEWPOINTS) assuming regarding the reasons for learning a foreign language (MAIN CONCEPTS)?",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",195,en,37,1,"What are ""Practical Necessity"", ""Cultural Enrichment"", and ""Educational and Cognitive Benefits"" (TARGET VIEWPOINTS) assuming regarding the reasons for learning a foreign language (MAIN CONCEPTS)?",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,2,"Regarding ""Practical Necessity"", ""Cultural Enrichment"", and ""Educational and Cognitive Benefits"" (TARGET VIEWPOINTS) followed by ""there is a functional requirement or need for language proficiency in daily life or work environments"", ""language is a key to experiencing and understanding different cultures more authentically"", and ""learning a foreign language has positive effects on the mind and educational outcomes"" around the reasons for learning a foreign language (MAIN CONCEPTS), please provide some information to support each viewpoint.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",545,en,96,1,"Regarding ""Practical Necessity"", ""Cultural Enrichment"", and ""Educational and Cognitive Benefits"" (TARGET VIEWPOINTS) followed by ""there is a functional requirement or need for language proficiency in daily life or work environments"", ""language is a key to experiencing and understanding different cultures more authentically"", and ""learning a foreign language has positive effects on the mind and educational outcomes"" around the reasons for learning a foreign language (MAIN CONCEPTS), please provide some information to support each viewpoint.",False,False,False,False,False,False,False
1-s2.0-S0191491X25000379-main.pdf,3,"Based on the following supporting INFORMATION, what is the best conclusion regarding whether traveling to or working in a foreign country is the only reason to learn a foreign language and is there any other reason someone should learn a foreign language (QUESTION)?",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",266,en,47,1,"Based on the following supporting INFORMATION, what is the best conclusion regarding whether traveling to or working in a foreign country is the only reason to learn a foreign language and is there any other reason someone should learn a foreign language (QUESTION)?",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,4,What are the most significant implications can be provided based on the above INTERPRETATION AND INFERENCE?,An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",107,en,17,1,What are the most significant implications can be provided based on the above INTERPRETATION AND INFERENCE?,False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,5,Do you think my following thesis writing is clear to understand? Could you give some examples of why it is not clear?,An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",117,en,24,2,Do you think my following thesis writing is clear to understand? Could you give some examples of why it is not clear?,False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,6,"Do you think my following thesis writing is free from errors, mistakes, or distortions? If not, could you point out the incorrect descriptions?",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",143,en,28,2,"Do you think my following thesis writing is free from errors, mistakes, or distortions? If not, could you point out the incorrect descriptions?",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,7,"Do you think my following thesis writing is precise and specific? If not, please help me find where cannot reflect enough precision.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",132,en,26,2,"Do you think my following thesis writing is precise and specific? If not, please help me find where cannot reflect enough precision.",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,8,"Regarding the ""relevance"" standard, do you think my following thesis can satisfy this criterion? If not, please show why I'm not relevant to the opinion ""Do you agree or disagree with this opinion that language die is not important because life will be easier if there are fewer languages in the world?""",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",303,en,61,2,"Regarding the ""relevance"" standard, do you think my following thesis can satisfy this criterion? If not, please show why I'm not relevant to the opinion ""Do you agree or disagree with this opinion that language die is not important because life will be easier if there are fewer languages in the world?""",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,9,"Regarding the ""depth"" standard, do you think my following thesis satisfies this criterion, containing complexities and multiple interrelationships that imply thorough thinking? If not, please tell the reasons with examples.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",223,en,37,2,"Regarding the ""depth"" standard, do you think my following thesis satisfies this criterion, containing complexities and multiple interrelationships that imply thorough thinking? If not, please tell the reasons with examples.",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,10,"Regarding the ""breadth"" standard, do you think my following thesis satisfies this criterion, encompassing multiple viewpoints, comprehensive in view, wide-ranging, and broadminded in perspective? If not, please tell the reasons with examples.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",242,en,44,2,"Regarding the ""breadth"" standard, do you think my following thesis satisfies this criterion, encompassing multiple viewpoints, comprehensive in view, wide-ranging, and broadminded in perspective? If not, please tell the reasons with examples.",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,11,"Regarding the ""logic"" standard, do you think my following thesis satisfies this criterion, in keeping with the principles of sound judgment and reasonability? If not, please tell the reasons with examples.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",205,en,38,2,"Regarding the ""logic"" standard, do you think my following thesis satisfies this criterion, in keeping with the principles of sound judgment and reasonability? If not, please tell the reasons with examples.",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,12,"Among the topic ""Do you agree or disagree with this opinion that language die is not important because life will be easier if there are fewer languages in the world?"", do you think my following thesis satisfies this criterion ""significance: having importance, being of consequence, having considerable or substantial meaning""? If not, please tell the reasons with examples.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",373,en,70,3,"Among the topic ""Do you agree or disagree with this opinion that language die is not important because life will be easier if there are fewer languages in the world?"", do you think my following thesis satisfies this criterion ""significance: having importance, being of consequence, having considerable or substantial meaning""? If not, please tell the reasons with examples.",False,False,False,False,False,False,True
1-s2.0-S0191491X25000379-main.pdf,13,"Does my following thesis free from bias, dishonesty, favoritism, selfish-interest, deception, or injustice? If not, please tell the reasons with examples.",An AI-assisted critical thinking intervention to enhance undergraduate EFL learners' writing proficiency,"Xue Yin, Kun Dou",154,en,31,2,"Does my following thesis free from bias, dishonesty, favoritism, selfish-interest, deception, or injustice? If not, please tell the reasons with examples.",False,False,False,False,False,False,True
1-s2.0-S0346251X23002312-main.pdf,0,Give me list of practical strategies to teach conflict resolution skills,ChatGPT: The catalyst for teacher-student rapport and grit development in L2 class,Mohammad Ghafouri,72,en,11,1,Give me list of practical strategies to teach conflict resolution skills,False,False,False,False,False,True,False
1-s2.0-S0346251X23002312-main.pdf,1,How can I decentralize myself in the class and shift the focus on to the learners?,ChatGPT: The catalyst for teacher-student rapport and grit development in L2 class,Mohammad Ghafouri,82,en,17,1,How can I decentralize myself in the class and shift the focus on to the learners?,False,False,False,False,False,False,True
1-s2.0-S0346251X24000721-main.pdf,0,"Using inductive thematic analysis, code the following interview data to address the following question: What effects will generative AI tools have on initial language teacher education?",The effects of generative AI on initial language teacher education: The perceptions of teacher educators,"Benjamin Luke Moorhouse, Lucas Kohnke",185,en,29,1,"Using inductive thematic analysis, code the following interview data to address the following question: What effects will generative AI tools have on initial language teacher education?",False,False,False,False,False,False,True
1-s2.0-S0346251X24000721-main.pdf,1,Can you identify extracts and keywords to illustrate each theme identified above?,The effects of generative AI on initial language teacher education: The perceptions of teacher educators,"Benjamin Luke Moorhouse, Lucas Kohnke",81,en,13,1,Can you identify extracts and keywords to illustrate each theme identified above?,False,False,False,False,False,False,True
1-s2.0-S0346251X24001441-main.pdf,0,"You are an expert in generating and improving ideas in GRE issue essays. You are going to assist the user in writing subclaims by providing ideas for a specific argument. Please refer to the GRE issue essay scoring rubrics (especially the rubric for “quality of ideas”) to generate appropriate, insightful, and innovative ideas.",Understanding EFL students' use of self-made AI chatbots as personalized writing assistance tools: A mixed methods study,"Kai Guo, Danling Li",328,en,62,3,"You are an expert in generating and improving ideas in GRE issue essays. You are going to assist the user in writing subclaims by providing ideas for a specific argument. Please refer to the GRE issue essay scoring rubrics (especially the rubric for “quality of ideas”) to generate appropriate, insightful, and innovative ideas.",True,False,False,False,True,False,False
1-s2.0-S0346251X24001441-main.pdf,1,"You are an experienced English teacher with years of GRE assessment experience. You are going to use “GRE issue essay scoring rubrics. docx” to assess students’ writing. Please refer to the assessing rubrics. Please provide an overall score of the essay, provide four scores related to the four dimensions and provide some suggestions to improve the essay. Use positive tones.",Understanding EFL students' use of self-made AI chatbots as personalized writing assistance tools: A mixed methods study,"Kai Guo, Danling Li",376,en,70,6,"You are an experienced English teacher with years of GRE assessment experience. You are going to use “GRE issue essay scoring rubrics. docx” to assess students’ writing. Please refer to the assessing rubrics. Please provide an overall score of the essay, provide four scores related to the four dimensions and provide some suggestions to improve the essay. Use positive tones.",True,False,False,False,True,False,False
1-s2.0-S0346251X24002847-main.pdf,0,"please point out all errors on sentence structure, word choice, verb tense, noun endings (singular/plural), verb form, punctuation, articles/determiners, word form, spelling, run-ons, pronouns, subject-verb agreement, fragments, idioms, and informal text",Exploring ChatGPT-supported teacher feedback in the EFL context,"Jining Han, Mimi Li",254,en,55,1,"please point out all errors on sentence structure, word choice, verb tense, noun endings (singular/plural), verb form, punctuation, articles/determiners, word form, spelling, run-ons, pronouns, subject-verb agreement, fragments, idioms, and informal text",False,False,False,False,False,True,False
1-s2.0-S0346251X24002847-main.pdf,1,please provide feedback on the rhetoric within the article,Exploring ChatGPT-supported teacher feedback in the EFL context,"Jining Han, Mimi Li",58,en,9,1,please provide feedback on the rhetoric within the article,False,False,False,False,False,True,False
1-s2.0-S0346251X24003117-main.pdf,0,"The text below has a number of issues with grammar, vocabulary, organization, and ideas. Your job is to provide written corrective feedback on this work in any form you choose so that the person who wrote it can make revisions to make it better and learn the language while doing so. You may use one or numerous strategies to provide this feedback. You should do this by hand so that we can see what you did. Also, briefly summarize in prose some recommendations for the students to improve their texts for revision.",The grass is not always greener: Teacher vs. GPT-assisted written corrective feedback,"Shiming Lin, Peter Crosthwaite",516,en,101,5,"The text below has a number of issues with grammar, vocabulary, organization, and ideas. Your job is to provide written corrective feedback on this work in any form you choose so that the person who wrote it can make revisions to make it better and learn the language while doing so. You may use one or numerous strategies to provide this feedback. You should do this by hand so that we can see what you did. Also, briefly summarize in prose some recommendations for the students to improve their texts for revision.",False,False,False,False,False,False,False
1-s2.0-S0346251X24003117-main.pdf,1,"The text below has a number of issues with grammar, vocabulary, organization, and ideas. Your job is to provide written corrective feedback on this work in any form you choose so that the person who wrote it can make revisions to make it better and learn the language while doing so. You may use one or numerous strategies to provide this feedback. You should mark clearly where you made corrections so that we can see what you did. Please also provide the original text with highlights/track changes so we can see the feedback you provided. Also, provide a breakdown of your feedback that students can easily understand to make revisions.",The grass is not always greener: Teacher vs. GPT-assisted written corrective feedback,"Shiming Lin, Peter Crosthwaite",639,en,122,6,"The text below has a number of issues with grammar, vocabulary, organization, and ideas. Your job is to provide written corrective feedback on this work in any form you choose so that the person who wrote it can make revisions to make it better and learn the language while doing so. You may use one or numerous strategies to provide this feedback. You should mark clearly where you made corrections so that we can see what you did. Please also provide the original text with highlights/track changes so we can see the feedback you provided. Also, provide a breakdown of your feedback that students can easily understand to make revisions.",False,False,False,False,False,False,False
1-s2.0-S0346251X24003208-main.pdf,0,"You are a chatbot for learning English, and you play the role of a ticketing agent for Kor Airline. You can suggest differently priced tickets for different dates, and you can also consult on seat assignments. You can also create a scenario to explain Kor Airlines' rules for baggage weight. Never use obscene language. Never curse during the chat. Please do not make your answer too long (e.g., within two sentences) and use an English level of K-10 (17 years old) or below.",Investigating the capabilities of large language model-based task-oriented dialogue chatbots from a learner's perspective,"Jang Ho Lee, Dongkwang Shin, Yohan Hwang",475,en,97,6,"You are a chatbot for learning English, and you play the role of a ticketing agent for Kor Airline. You can suggest differently priced tickets for different dates, and you can also consult on seat assignments. You can also create a scenario to explain Kor Airlines' rules for baggage weight. Never use obscene language. Never curse during the chat. Please do not make your answer too long (e.g., within two sentences) and use an English level of K-10 (17 years old) or below.",True,False,True,False,True,False,False
1-s2.0-S0346251X24003208-main.pdf,1,"You are a chatbot for learning English, and you play the role of a friend who helps the user sleep better. You can suggest different ways to sleep better. You should sound like you really care about your friend's concern. Never use obscene language. Never curse during the chat. Limit your sentences to two sentences per turn. Use an English level of K-10 (17 years old) or below.",Investigating the capabilities of large language model-based task-oriented dialogue chatbots from a learner's perspective,"Jang Ho Lee, Dongkwang Shin, Yohan Hwang",380,en,79,7,"You are a chatbot for learning English, and you play the role of a friend who helps the user sleep better. You can suggest different ways to sleep better. You should sound like you really care about your friend's concern. Never use obscene language. Never curse during the chat. Limit your sentences to two sentences per turn. Use an English level of K-10 (17 years old) or below.",True,False,False,False,True,False,False
1-s2.0-S0346251X24003439-main.pdf,0,What is False Analogy?,ChatGPT affordance for logic learning strategies and its usefulness for developing knowledge and quality of logic in English argumentative writing,"Ruofei Zhang, Di Zou, Gary Cheng",22,en,5,1,What is False Analogy?,False,False,False,False,False,False,True
