text,cluster_id,theme
"Engagement: Students showed increased engagement, enthusiasm, and active participation in AI-enhanced activities like karaoke.",6,GenAI Perceptions in Education
Motivation: The use of entertaining and personalized materials created with AI increased student motivation.,6,GenAI Perceptions in Education
Attitude: Teachers expressed enthusiasm for integrating AI and a willingness to move beyond traditional teaching methods.,6,GenAI Perceptions in Education
Motivation: Qualitative analyses indicated increased motivation in the CALL group.,9,AI-Enhanced Learner Engagement
"Engagement: CALL tools, especially gamified ones like Kahoot!, promoted active engagement.",9,AI-Enhanced Learner Engagement
"Autonomy: The study's primary focus, finding that CALL tools significantly enhance students' autonomy and preference for self-directed learning.",10,AI-Fostered Learner Autonomy
Metacognitive awareness: Qualitative analyses showed an increase in metacognitive awareness among participants in the CALL group.,0,GenAI Perceptions in Education
"Positive attitudes: Students generally held approving attitudes towards GAI-assisted academic writing, acknowledging its value in improving efficiency and reducing pressure.",7,GenAI Boosts Learner Confidence
"Anxiety and lack of control: Students expressed feelings of uneasiness and a low sense of security, stemming from their inability to fully control GAI and uncertainty about academic norms.",0,GenAI Perceptions in Education
Performance expectancy: Belief that using ChatGPT would improve writing skills and productivity.,4,GenAI Boosts Learner Confidence
Effort expectancy: Perception of the ease of use of ChatGPT for writing tasks.,4,GenAI Boosts Learner Confidence
Hedonic motivation: The degree of fun or pleasure derived from using ChatGPT.,11,GenAI Perceptions in Education
Habit: The extent to which using ChatGPT has become an automatic behavior.,11,GenAI Perceptions in Education
Trust: Belief in the reliability and credibility of ChatGPT.,11,GenAI Perceptions in Education
Behavioral intention: The intention to continue using ChatGPT in the future.,11,GenAI Perceptions in Education
"L2 Grit: The study's primary focus, defined as perseverance and passion for long-term goals, was found to significantly increase in the experimental group.",0,GenAI Perceptions in Education
"Teacher-student rapport: The intervention aimed to enhance rapport, which was linked to the increase in student grit.",0,GenAI Perceptions in Education
Engagement: The protocol was designed to promote student engagement through personalized and collaborative tasks.,9,AI-Enhanced Learner Engagement
Motivation: Increased grit and rapport imply that students were more motivated to persist in their language learning journey.,8,AI-Enhanced Learner Engagement
Belief that GenAI will dramatically affect Initial Language Teacher Education (ILTE).,5,GenAI Perceptions in Education
A perceived lack of personal confidence and competence in using GenAI tools and addressing their implications.,5,GenAI Perceptions in Education
Concern about the fairness of assessments and the difficulty of detecting improper student use of GenAI.,5,GenAI Perceptions in Education
Recognition of the need for professional development to increase their own GenAI competence.,5,GenAI Perceptions in Education
Uncertainty about the future role of language teachers and the value of language learning in an age of powerful AI tools.,6,GenAI Perceptions in Education
"Motivation: The study found a positive impact on students' writing motivation, particularly performance and avoidance goals.",14,GenAI Boosts Learner Confidence
Confidence: Students reported feeling more confident when writing with their self-made chatbots.,2,GenAI Boosts Learner Confidence
Attitude: Students' attitudes toward writing became more favorable after the intervention.,14,GenAI Boosts Learner Confidence
